neg_event,event
PersonX is not late for class,PersonX is late for class
PersonX does not want PersonY to know,PersonX wants PersonY to know
PersonX does not evaluate PersonY's performance,PersonX evaluates PersonY's performance
PersonX does not draw PersonY's attention,PersonX draws PersonY's attention
PersonX obeys not PersonY's commands,PersonX obeys PersonY's commands
PersonX is not nowhere to be found,PersonX is nowhere to be found
PersonX does not ask questions later,PersonX asks questions later
PersonX does not face PersonY,PersonX faces PersonY
PersonX does not drive PersonX's friends home,PersonX drives PersonX's friends home
PersonX does not tell PersonY's friends about it,PersonX tells PersonY's friends about it
PersonX is not on the baseball team,PersonX is on the baseball team
PersonX does not open PersonX's own shop,PersonX opens PersonX's own shop
PersonX does not attend PersonX's meetings,PersonX attends PersonX's meetings
PersonX does not sell PersonY into slavery,PersonX sells PersonY into slavery
PersonX does not drive to PersonX's job,PersonX drives to PersonX's job
PersonX does not beat PersonY's brother,PersonX beats PersonY's brother
PersonX does not open PersonY's mouth,PersonX opens PersonY's mouth
PersonX does not feel much better after,PersonX feels much better after
PersonX is not on vacation at the beach,PersonX is on vacation at the beach
PersonX does not become PersonY obsession,PersonX becomes PersonY obsession
PersonX does not take care of the baby,PersonX takes care of the baby
PersonX did not finally ask PersonY,PersonX finally asked PersonY
PersonX is not proud of PersonX's accomplishment,PersonX is proud of PersonX's accomplishment
PersonX does not shoot at PersonY,PersonX shoots at PersonY
PersonX does not find PersonY's class,PersonX finds PersonY's class
PersonX does not eat the food,PersonX eats the food
PersonX does not paint PersonY's house,PersonX paints PersonY's house
PersonX does not become pregnant,PersonX becomes pregnant
PersonX does not take action against PersonY,PersonX takes action against PersonY
PersonX does not eat together,PersonX eats together
PersonX does not find PersonY's parents,PersonX finds PersonY's parents
PersonX does not pave the road to hell,PersonX paves the road to hell
PersonX is not proud of PersonY,PersonX is proud of PersonY
PersonX does not find it funny,PersonX finds it funny
PersonX does not behave in PersonY manner,PersonX behaves in PersonY manner
PersonX does not enjoy the day,PersonX enjoys the day
PersonX is not really good,PersonX is really good
PersonX does not see eye to eye,PersonX sees eye to eye
PersonX does not find my dog,PersonX finds my dog
PersonX does not book PersonX's trip,PersonX books PersonX's trip
PersonX does not fear PersonY,PersonX fears PersonY
PersonX is not sent home,PersonX is sent home
PersonX does not break PersonX's mother's favorite vase,PersonX breaks PersonX's mother's favorite vase
PersonX did not suddenly stop,PersonX suddenly stopped
PersonX does not finish PersonY's essay,PersonX finishes PersonY's essay
PersonX does not fear for PersonX's life,PersonX fears for PersonX's life
PersonX does not break my leg,PersonX breaks my leg
PersonX does not serve food,PersonX serves food
PersonX does not feel PersonY's hand,PersonX feels PersonY's hand
PersonX does not fit PersonY well,PersonX fits PersonY well
PersonX does not persuade PersonY to go,PersonX persuades PersonY to go
PersonX does not bribe PersonY,PersonX bribes PersonY
PersonX does not visit some friends,PersonX visits some friends
PersonX is not shot and killed,PersonX is shot and killed
PersonX does not feel contractions,PersonX feels contractions
PersonX is not taken away,PersonX is taken away
PersonX does not bring PersonX's daughter,PersonX brings PersonX's daughter
PersonX does not flip PersonX's wig,PersonX flips PersonX's wig
PersonX does not piss in PersonY's cornflakes,PersonX pisses in PersonY's cornflakes
PersonX does not say bye,PersonX says bye
PersonX is not very rude to PersonY,PersonX is very rude to PersonY
PersonX does not feel really weird,PersonX feels really weird
PersonX does not bring PersonY close,PersonX brings PersonY close
PersonX does not take my son,PersonX takes my son
PersonX is not walking to work,PersonX is walking to work
PersonX does not freak PersonY out,PersonX freaks PersonY out
PersonX does not place PersonY on the table,PersonX places PersonY on the table
PersonX does not bring PersonY's food,PersonX brings PersonY's food
PersonX does not fight for PersonX's life,PersonX fights for PersonX's life
PersonX does not sell lemonade,PersonX sells lemonade
PersonX does not keep PersonY in,PersonX keeps PersonY in
PersonX does not bring something,PersonX brings something
PersonX does not file for divorce,PersonX files for divorce
PersonX does not fulfil PersonY's mission,PersonX fulfils PersonY's mission
PersonX does not swing hard,PersonX swings hard
PersonX does not plan a party,PersonX plans a party
PersonX does not take PersonY prisoner,PersonX takes PersonY prisoner
PersonX does not further PersonY's understanding,PersonX furthers PersonY's understanding
PersonX does not find PersonY audience,PersonX finds PersonY audience
PersonX does not keep losing,PersonX keeps losing
PersonX does not play paintball,PersonX plays paintball
PersonX does not find PersonY one,PersonX finds PersonY one
PersonX does not gain PersonY understanding,PersonX gains PersonY understanding
PersonX does not wipe away PersonY's tears,PersonX wipes away PersonY's tears
PersonX does not bring the dog,PersonX brings the dog
PersonX does not find PersonY's family,PersonX finds PersonY's family
PersonX does not build PersonY house,PersonX builds PersonY house
PersonX does not watch PersonY's show,PersonX watches PersonY's show
PersonX does not pound PersonY's husband,PersonX pounds PersonY's husband
PersonX does not keep the home fires burning,PersonX keeps the home fires burning
PersonX does not fold PersonY's arms,PersonX folds PersonY's arms
PersonX does not build a better mousetrap,PersonX builds a better mousetrap
PersonX does not follow PersonY everywhere,PersonX follows PersonY everywhere
PersonX does not wash PersonY's clothes,PersonX washes PersonY's clothes
PersonX does not prevent PersonY,PersonX prevents PersonY
PersonX does not kill PersonY enemy,PersonX kills PersonY enemy
PersonX does not build a fence,PersonX builds a fence
PersonX does not forgive PersonX's friend,PersonX forgives PersonX's friend
PersonX does not kiss PersonY deeply,PersonX kisses PersonY deeply
PersonX does not buy a boat,PersonX buys a boat
PersonX does not forgive PersonY's friend,PersonX forgives PersonY's friend
PersonX does not provide PersonY picture,PersonX provides PersonY picture
PersonX does not say good night,PersonX says good night
PersonX does not form PersonY army,PersonX forms PersonY army
PersonX does not kiss PersonY on the forehead,PersonX kisses PersonY on the forehead
PersonX does not start PersonY program,PersonX starts PersonY program
PersonX does not kiss PersonY passionately,PersonX kisses PersonY passionately
PersonX does not buy a cake,PersonX buys a cake
PersonX does not reach PersonY's room,PersonX reaches PersonY's room
PersonX does not fuss at PersonY,PersonX fusses at PersonY
PersonX does not return PersonY's attention,PersonX returns PersonY's attention
PersonX does not get PersonY money,PersonX gets PersonY money
PersonX does not buy some stock,PersonX buys some stock
PersonX does not read PersonY's favorite book,PersonX reads PersonY's favorite book
PersonX does not get PersonY education,PersonX gets PersonY education
PersonX does not land PersonX's dream job,PersonX lands PersonX's dream job
PersonX does not get PersonY's mind off it,PersonX gets PersonY's mind off it
PersonX does not call PersonX's kids,PersonX calls PersonX's kids
PersonX does not tangle PersonY's fingers,PersonX tangles PersonY's fingers
PersonX does not lead PersonY away,PersonX leads PersonY away
PersonX does not read more books,PersonX reads more books
PersonX does not get PersonY picture,PersonX gets PersonY picture
PersonX does not get a new boss,PersonX gets a new boss
PersonX does not take PersonY's truck,PersonX takes PersonY's truck
PersonX does not call PersonY by PersonZ name,PersonX calls PersonY by PersonZ name
PersonX does not get PersonY's mail,PersonX gets PersonY's mail
PersonX does not receive an award,PersonX receives an award
PersonX does not get a puppy,PersonX gets a puppy
PersonX does not visit PersonY's grandparents,PersonX visits PersonY's grandparents
PersonX does not call PersonY's dad,PersonX calls PersonY's dad
PersonX does not get a gift,PersonX gets a gift
PersonX does not get along with others,PersonX gets along with others
PersonX does not send PersonY a copy,PersonX sends PersonY a copy
PersonX does not learn how to play the guitar,PersonX learns how to play the guitar
PersonX does not receive treatment,PersonX receives treatment
PersonX does not get cold feet,PersonX gets cold feet
PersonX does not get a tutor,PersonX gets a tutor
PersonX does not take PersonY word for it,PersonX takes PersonY word for it
PersonX does not regain PersonY's composure,PersonX regains PersonY's composure
PersonX does not get laid off,PersonX gets laid off
PersonX does not let go of PersonY,PersonX lets go of PersonY
PersonX does not get another job,PersonX gets another job
PersonX does not try to call PersonY,PersonX tries to call PersonY
PersonX does not remove PersonX's hat,PersonX removes PersonX's hat
PersonX does not lie next to PersonY,PersonX lies next to PersonY
PersonX does not use the internet,PersonX uses the internet
PersonX does not get married,PersonX gets married
PersonX does not show PersonX's mom,PersonX shows PersonX's mom
PersonX does not wrap PersonY up,PersonX wraps PersonY up
PersonX does not get bad news,PersonX gets bad news
PersonX does not lift PersonY's chin,PersonX lifts PersonY's chin
PersonX does not sting PersonY,PersonX stings PersonY
PersonX does not threaten PersonY's existence,PersonX threatens PersonY's existence
PersonX does not live with PersonX's father,PersonX lives with PersonX's father
PersonX does not get it working,PersonX gets it working
PersonX does not get ready for a date,PersonX gets ready for a date
PersonX does not work nights,PersonX works nights
PersonX does not win first place in the competition,PersonX wins first place in the competition
PersonX does not get some friends,PersonX gets some friends
PersonX does not get married a year later,PersonX gets married a year later
PersonX does not look at PersonX's wife,PersonX looks at PersonX's wife
PersonX does not call the cable guy,PersonX calls the cable guy
PersonX does not tell PersonY PersonY's name,PersonX tells PersonY PersonY's name
PersonX does not try to clean it up,PersonX tries to clean it up
PersonX does not get the dirty water off PersonX's chest,PersonX gets the dirty water off PersonX's chest
PersonX does not lose PersonY way,PersonX loses PersonY way
PersonX does not get the food,PersonX gets the food
PersonX does not try to ignore PersonY,PersonX tries to ignore PersonY
PersonX does not see the band,PersonX sees the band
PersonX does not give PersonY a deal,PersonX gives PersonY a deal
PersonX does not lose PersonY's power,PersonX loses PersonY's power
PersonX does not get what PersonY wanted,PersonX gets what PersonY wanted
PersonX does not call the shots,PersonX calls the shots
PersonX does not give PersonY a glass,PersonX gives PersonY a glass
PersonX does not tell PersonX's sister,PersonX tells PersonX's sister
PersonX does not lose a lot of weight,PersonX loses a lot of weight
PersonX does not care for PersonX's children,PersonX cares for PersonX's children
PersonX does not give PersonX's wife,PersonX gives PersonX's wife
PersonX does not give PersonY evidence,PersonX gives PersonY evidence
PersonX does not return the book,PersonX returns the book
PersonX does not love PersonX's mom,PersonX loves PersonX's mom
PersonX does not give PersonY a chance,PersonX gives PersonY a chance
PersonX does not give PersonY orders,PersonX gives PersonY orders
PersonX does not make PersonY cry,PersonX makes PersonY cry
PersonX does not take PersonX's son out,PersonX takes PersonX's son out
PersonX does not give PersonY a home,PersonX gives PersonY a home
PersonX does not sell PersonX's goods,PersonX sells PersonX's goods
PersonX does not make PersonY's breakfast in bed,PersonX makes PersonY's breakfast in bed
PersonX does not give PersonY a job,PersonX gives PersonY a job
PersonX does not take PersonY to the animal shelter,PersonX takes PersonY to the animal shelter
PersonX does not carry PersonY,PersonX carries PersonY
PersonX does not take PersonY's shopping,PersonX takes PersonY's shopping
PersonX does not catch PersonY by surprise,PersonX catches PersonY by surprise
PersonX does not take the computer,PersonX takes the computer
PersonX does not give PersonY a opportunity,PersonX gives PersonY a opportunity
PersonX does not give PersonY power,PersonX gives PersonY power
PersonX does not thank PersonX's parents,PersonX thanks PersonX's parents
PersonX does not charge PersonY,PersonX charges PersonY
PersonX does not give PersonY a promotion,PersonX gives PersonY a promotion
PersonX does not check into PersonY's hotel,PersonX checks into PersonY's hotel
PersonX does not give PersonY a shove,PersonX gives PersonY a shove
PersonX does not support PersonX's family,PersonX supports PersonX's family
PersonX does not see PersonY play,PersonX sees PersonY play
PersonX does not give PersonY's kids,PersonX gives PersonY's kids
PersonX does not give PersonY credit,PersonX gives PersonY credit
PersonX does not come back today,PersonX comes back today
PersonX does not set PersonY's alarm,PersonX sets PersonY's alarm
PersonX does not see PersonY in the morning,PersonX sees PersonY in the morning
PersonX does not give PersonY's permission,PersonX gives PersonY's permission
PersonX does not tell PersonY nothing,PersonX tells PersonY nothing
PersonX does not give PersonY lessons,PersonX gives PersonY lessons
PersonX does not cook dinner for PersonY,PersonX cooks dinner for PersonY
PersonX does not give the money,PersonX gives the money
PersonX does not give PersonY some information,PersonX gives PersonY some information
PersonX does not go halves,PersonX goes halves
PersonX does not squeeze PersonY hand,PersonX squeezes PersonY hand
PersonX does not cook steak,PersonX cooks steak
PersonX does not wash PersonY,PersonX washes PersonY
PersonX does not go back to the beginning,PersonX goes back to the beginning
PersonX does not crash PersonY's car,PersonX crashes PersonY's car
PersonX does not go to PersonX's grandmother's house,PersonX goes to PersonX's grandmother's house
PersonX does not take PersonY's home,PersonX takes PersonY's home
PersonX would not take PersonY,PersonX would take PersonY
PersonX does not go halfsies,PersonX goes halfsies
PersonX does not go to the hardware store,PersonX goes to the hardware store
PersonX does not deliver mail,PersonX delivers mail
PersonX does not agree to try it,PersonX agrees to try it
PersonX does not hang out with PersonY's friends,PersonX hangs out with PersonY's friends
PersonX does not answer PersonY questions,PersonX answers PersonY questions
PersonX does not deny PersonY access,PersonX denies PersonY access
PersonX does not make a basket,PersonX makes a basket
PersonX does not urge PersonY to go,PersonX urges PersonY to go
PersonX does not go to school today,PersonX goes to school today
PersonX does not have PersonX's hand out,PersonX has PersonX's hand out
PersonX does not appeal to PersonY,PersonX appeals to PersonY
PersonX does not dismiss PersonY,PersonX dismisses PersonY
PersonX does not scream loudest,PersonX screams loudest
PersonX does not have a big crush on PersonY,PersonX has a big crush on PersonY
PersonX does not ask PersonX why,PersonX asks PersonX why
PersonX does not make spaghetti,PersonX makes spaghetti
PersonX does not have to take PersonY to the doctor,PersonX has to take PersonY to the doctor
PersonX does not write stories,PersonX writes stories
PersonX does not do PersonY's work,PersonX does PersonY's work
PersonX does not ask PersonX's parents for one,PersonX asks PersonX's parents for one
PersonX does not ring PersonX's bell,PersonX rings PersonX's bell
PersonX does not meet PersonY's expectations,PersonX meets PersonY's expectations
PersonX does not help PersonX's son,PersonX helps PersonX's son
PersonX does not do a terrible job,PersonX does a terrible job
PersonX does not ask PersonY's parents,PersonX asks PersonY's parents
PersonX does not have a great time at the party,PersonX has a great time at the party
PersonX does not take PersonY degree,PersonX takes PersonY degree
PersonX does not move PersonY's furniture,PersonX moves PersonY's furniture
PersonX does not bait PersonY's hook,PersonX baits PersonY's hook
PersonX does not have a new boyfriend,PersonX has a new boyfriend
PersonX does not hire someone,PersonX hires someone
PersonX does not shin PersonY's shoes,PersonX shines PersonY's shoes
PersonX does not offer help,PersonX offers help
PersonX does not become a writer,PersonX becomes a writer
PersonX does not have a pair,PersonX has a pair
PersonX does not hit the deer,PersonX hits the deer
PersonX does not seek PersonY interview,PersonX seeks PersonY interview
PersonX does not become very depressed,PersonX becomes very depressed
PersonX does not hold PersonY's phone,PersonX holds PersonY's phone
PersonX does not have gone missing,PersonX has gone missing
PersonX does not have health issues,PersonX has health issues
PersonX does not pack PersonY's lunch,PersonX packs PersonY's lunch
PersonX does not tell mom,PersonX tells mom
PersonX does not drive fast,PersonX drives fast
PersonX does not pay PersonY's debts,PersonX pays PersonY's debts
PersonX does not hold conversations,PersonX holds conversations
PersonX does not treat PersonY well,PersonX treats PersonY well
PersonX does not have the time of PersonY's life,PersonX has the time of PersonY's life
PersonX does not beg for money,PersonX begs for money
PersonX does not drop PersonY off,PersonX drops PersonY off
PersonX does not ruin PersonX's day,PersonX ruins PersonX's day
PersonX does not help PersonY in ways,PersonX helps PersonY in ways
PersonX does not hop in the car,PersonX hops in the car
PersonX does not book PersonY's trip,PersonX books PersonY's trip
PersonX does not ease PersonY's nerves,PersonX eases PersonY's nerves
PersonX does not help PersonY's practice,PersonX helps PersonY's practice
PersonX does not pay PersonY's share,PersonX pays PersonY's share
PersonX does not bring PersonY into line,PersonX brings PersonY into line
PersonX does not accompany PersonY,PersonX accompanies PersonY
PersonX does not hurry home,PersonX hurries home
PersonX does not bring PersonY to trial,PersonX brings PersonY to trial
PersonX does not help people,PersonX helps people
PersonX does not eat PersonY's supper,PersonX eats PersonY's supper
PersonX does not tell PersonY what you think,PersonX tells PersonY what you think
PersonX does not bring it to PersonY's lips,PersonX brings it to PersonY's lips
PersonX does not educate PersonY's children,PersonX educates PersonY's children
PersonX does not pay PersonY's visit,PersonX pays PersonY's visit
PersonX is not able to go,PersonX is able to go
PersonX does not take care of herself,PersonX takes care of herself
PersonX does not hit PersonY's head,PersonX hits PersonY's head
PersonX is not cleaning PersonY's room,PersonX is cleaning PersonY's room
PersonX does not tell PersonY made,PersonX tells PersonY made
PersonX does not ensure PersonY's success,PersonX ensures PersonY's success
PersonX does not burn PersonY's hand,PersonX burns PersonY's hand
PersonX is not dating for five years,PersonX is dating for five years
PersonX does not pay for PersonY,PersonX pays for PersonY
PersonX does not hit someone,PersonX hits someone
PersonX does not buy PersonY's daughter,PersonX buys PersonY's daughter
PersonX does not want to hang out with PersonY,PersonX wants to hang out with PersonY
PersonX is not diagnosed with the flu,PersonX is diagnosed with the flu
PersonX does not place an order,PersonX places an order
PersonX does not call PersonX's office,PersonX calls PersonX's office
PersonX does not hurt PersonY so much,PersonX hurts PersonY so much
PersonX does not fear for PersonY's life,PersonX fears for PersonY's life
PersonX does not speak PersonX's language,PersonX speaks PersonX's language
PersonX does not place first,PersonX places first
PersonX is not going to get married,PersonX is going to get married
PersonX does not hurt PersonY's leg,PersonX hurts PersonY's leg
PersonX does not call PersonY father,PersonX calls PersonY father
PersonX does not feel PersonY's heart,PersonX feels PersonY's heart
PersonX does not call a taxi,PersonX calls a taxi
PersonX is not going to have a baby,PersonX is going to have a baby
PersonX does not increase PersonY's income,PersonX increases PersonY's income
PersonX does not fee the fish,PersonX fees the fish
PersonX does not play PersonY's game,PersonX plays PersonY's game
PersonX is not a great tennis player,PersonX is a great tennis player
PersonX does not call someone,PersonX calls someone
PersonX is not always fighting,PersonX is always fighting
PersonX is not playing monopoly,PersonX is playing monopoly
PersonX does not find it for PersonY,PersonX finds it for PersonY
PersonX is not driving to work,PersonX is driving to work
PersonX does not play all the time,PersonX plays all the time
PersonX does not call the plumber,PersonX calls the plumber
PersonX does not play it straight,PersonX plays it straight
PersonX is not far from home,PersonX is far from home
PersonX does not find the perfect dog,PersonX finds the perfect dog
PersonX is not the best in the class,PersonX is the best in the class
PersonX does not keep PersonY account,PersonX keeps PersonY account
PersonX does not cash PersonY's check,PersonX cashes PersonY's check
PersonX is not going to die,PersonX is going to die
PersonX does not play nice,PersonX plays nice
PersonX does not finish high school,PersonX finishes high school
PersonX does not catch PersonY by the arm,PersonX catches PersonY by the arm
PersonX does not keep PersonY going,PersonX keeps PersonY going
PersonX does not play professional basketball,PersonX plays professional basketball
PersonX is not in a lot of trouble,PersonX is in a lot of trouble
PersonX does not finish the game,PersonX finishes the game
PersonX does not cause PersonY reaction,PersonX causes PersonY reaction
PersonX does not preach to deaf ears,PersonX preaches to deaf ears
PersonX does not keep in touch with PersonY,PersonX keeps in touch with PersonY
PersonX does not kill PersonX's son,PersonX kills PersonX's son
PersonX does not prepare food,PersonX prepares food
PersonX does not fix upon PersonY,PersonX fixes upon PersonY
PersonX does not challenge PersonX's friends,PersonX challenges PersonX's friends
PersonX is not invited to a party,PersonX is invited to a party
PersonX does not fly off at a tangent,PersonX flies off at a tangent
PersonX does not kiss arse,PersonX kisses arse
PersonX does not preserve PersonX's independence,PersonX preserves PersonX's independence
PersonX is not n't paying much attention,PersonX is n't paying much attention
PersonX does not lay it on thick,PersonX lays it on thick
PersonX does not serve PersonY's ends,PersonX serves PersonY's ends
PersonX does not clean the basement,PersonX cleans the basement
PersonX does not follow PersonY's home,PersonX follows PersonY's home
PersonX does not prevent PersonY from seeing,PersonX prevents PersonY from seeing
PersonX does not climb on top of PersonY,PersonX climbs on top of PersonY
PersonX is not proud of PersonY's accomplishment,PersonX is proud of PersonY's accomplishment
PersonX does not see PersonY's way,PersonX sees PersonY's way
PersonX does not gain new clients,PersonX gains new clients
PersonX does not learn how to play the drums,PersonX learns how to play the drums
PersonX does not produce PersonY impression,PersonX produces PersonY impression
PersonX does not gather PersonY's friends,PersonX gathers PersonY's friends
PersonX does not comb PersonY hair,PersonX combs PersonY hair
PersonX is not rushed to the hospital,PersonX is rushed to the hospital
PersonX does not let PersonX's play,PersonX lets PersonX's play
PersonX does not tell the joke,PersonX tells the joke
PersonX does not get PersonY's books,PersonX gets PersonY's books
PersonX does not come from behind PersonY,PersonX comes from behind PersonY
PersonX does not provide PersonY education,PersonX provides PersonY education
PersonX does not lie through PersonX's teeth,PersonX lies through PersonX's teeth
PersonX does not get a girlfriend,PersonX gets a girlfriend
PersonX is not scared of PersonY,PersonX is scared of PersonY
PersonX does not surprise PersonY with a trip,PersonX surprises PersonY with a trip
PersonX does not pull PersonY away,PersonX pulls PersonY away
PersonX is not staring at PersonY,PersonX is staring at PersonY
PersonX does not live along the PersonY,PersonX lives along the PersonY
PersonX does not get a phone call,PersonX gets a phone call
PersonX does not pull PersonY forward,PersonX pulls PersonY forward
PersonX does not confer upon PersonY,PersonX confers upon PersonY
PersonX does not get flowers,PersonX gets flowers
PersonX does not keep PersonY from falling,PersonX keeps PersonY from falling
PersonX does not live among people,PersonX lives among people
PersonX does not pull PersonY's face,PersonX pulls PersonY's face
PersonX does not lose a bet,PersonX loses a bet
PersonX does not cook dinner for PersonX's family,PersonX cooks dinner for PersonX's family
PersonX does not get into PersonY's car,PersonX gets into PersonY's car
PersonX does not pull PersonY's hands,PersonX pulls PersonY's hands
PersonX does not lose the first game,PersonX loses the first game
PersonX does not pull pranks,PersonX pulls pranks
PersonX does not keep PersonY safe,PersonX keeps PersonY safe
PersonX does not correct PersonY,PersonX corrects PersonY
PersonX does not keep PersonY still,PersonX keeps PersonY still
PersonX does not pull the wool over PersonY's eyes,PersonX pulls the wool over PersonY's eyes
PersonX does not get near PersonY,PersonX gets near PersonY
PersonX does not maintain PersonX's authority,PersonX maintains PersonX's authority
PersonX does not keep PersonY word,PersonX keeps PersonY word
PersonX does not get rid of PersonY,PersonX gets rid of PersonY
PersonX does not quit PersonX's old job,PersonX quits PersonX's old job
PersonX does not date PersonY's girlfriend,PersonX dates PersonY's girlfriend
PersonX does not kiss PersonY softly,PersonX kisses PersonY softly
PersonX does not make PersonY money,PersonX makes PersonY money
PersonX does not date for 3 years,PersonX dates for 3 years
PersonX does not give PersonX's girlfriend,PersonX gives PersonX's girlfriend
PersonX does not quit playing,PersonX quits playing
PersonX does not make PersonY promises,PersonX makes PersonY promises
PersonX does not know PersonY better,PersonX knows PersonY better
PersonX does not raise PersonX's hat,PersonX raises PersonX's hat
PersonX does not lay hands on PersonY,PersonX lays hands on PersonY
PersonX does not give PersonX's mother,PersonX gives PersonX's mother
PersonX does not decide to give up,PersonX decides to give up
PersonX does not reach out to PersonY,PersonX reaches out to PersonY
PersonX does not walk PersonY,PersonX walks PersonY
PersonX does not give PersonX's speech,PersonX gives PersonX's speech
PersonX does not decide to go see a movie,PersonX decides to go see a movie
PersonX does not lay the groundwork,PersonX lays the groundwork
PersonX does not read PersonY mind,PersonX reads PersonY mind
PersonX does not make PersonY's blood boil,PersonX makes PersonY's blood boil
PersonX does not want to hang out,PersonX wants to hang out
PersonX does not learn to sew,PersonX learns to sew
PersonX does not give PersonY a place,PersonX gives PersonY a place
PersonX does not see a concert,PersonX sees a concert
PersonX does not decide to hire a tutor,PersonX decides to hire a tutor
PersonX does not make PersonY's coffee,PersonX makes PersonY's coffee
PersonX does not learn to skateboard,PersonX learns to skateboard
PersonX does not read PersonY's book,PersonX reads PersonY's book
PersonX does not give PersonY aid,PersonX gives PersonY aid
PersonX does not read aloud to PersonY,PersonX reads aloud to PersonY
PersonX does not decide to quit,PersonX decides to quit
PersonX does not win three games,PersonX wins three games
PersonX does not give PersonY details,PersonX gives PersonY details
PersonX does not lend PersonY,PersonX lends PersonY
PersonX does not send PersonY a text message,PersonX sends PersonY a text message
PersonX does not deliver the goods,PersonX delivers the goods
PersonX does not give PersonY dollars,PersonX gives PersonY dollars
PersonX did not really like PersonY,PersonX really liked PersonY
PersonX does not give PersonY hopes,PersonX gives PersonY hopes
PersonX does not want nothing to do with PersonY,PersonX wants nothing to do with PersonY
PersonX does not diagnose with cancer,PersonX diagnoses with cancer
PersonX does not let PersonY die,PersonX lets PersonY die
PersonX does not give PersonY information,PersonX gives PersonY information
PersonX does not dig PersonY's nails,PersonX digs PersonY's nails
PersonX does not reduce PersonX's costs,PersonX reduces PersonX's costs
PersonX does not write a paper for PersonY's english class,PersonX writes a paper for PersonY's english class
PersonX does not let PersonY out,PersonX lets PersonY out
PersonX does not give PersonY some time,PersonX gives PersonY some time
PersonX does not do PersonX's chores,PersonX does PersonX's chores
PersonX does not reel the fish in,PersonX reels the fish in
PersonX does not lie on the sidewalk,PersonX lies on the sidewalk
PersonX does not wave PersonY's hand,PersonX waves PersonY's hand
PersonX does not dry the clothes,PersonX dries the clothes
PersonX does not give PersonY the chair,PersonX gives PersonY the chair
PersonX does not try online dating,PersonX tries online dating
PersonX does not listen to PersonY's favorite song,PersonX listens to PersonY's favorite song
PersonX does not render PersonY assistance,PersonX renders PersonY assistance
PersonX does not drive PersonY home,PersonX drives PersonY home
PersonX does not give PersonY's candy,PersonX gives PersonY's candy
PersonX does not live far away from PersonY,PersonX lives far away from PersonY
PersonX does not go a long way,PersonX goes a long way
PersonX does not take PersonY to a doctor,PersonX takes PersonY to a doctor
PersonX does not live with PersonX's sister,PersonX lives with PersonX's sister
PersonX does not obtain PersonY information,PersonX obtains PersonY information
PersonX does not drive PersonY's friends home,PersonX drives PersonY's friends home
PersonX does not lock PersonY's keys in PersonZ's car,PersonX locks PersonY's keys in PersonZ's car
PersonX does not go fishing with PersonX's dad,PersonX goes fishing with PersonX's dad
PersonX does not take PersonY's husband,PersonX takes PersonY's husband
PersonX does not turn PersonY's attention back,PersonX turns PersonY's attention back
PersonX does not eat PersonY's meal,PersonX eats PersonY's meal
PersonX does not lock the door behind PersonY,PersonX locks the door behind PersonY
PersonX does not surprise PersonY with a party,PersonX surprises PersonY with a party
PersonX does not go without PersonY,PersonX goes without PersonY
PersonX does not eat my food,PersonX eats my food
PersonX does not take piano lessons,PersonX takes piano lessons
PersonX does not tell PersonY's grandma,PersonX tells PersonY's grandma
PersonX does not look at PersonY's friend,PersonX looks at PersonY's friend
PersonX did not walk home from work,PersonX walks home from work
PersonX does not take pity on PersonY,PersonX takes pity on PersonY
PersonX does not enter a competition,PersonX enters a competition
PersonX does not offer PersonY a ride,PersonX offers PersonY a ride
PersonX did not grab PersonY's bags,PersonX grabs PersonY's bags
PersonX does not look in PersonY's eyes,PersonX looks in PersonY's eyes
PersonX does not enter a poker tournament,PersonX enters a poker tournament
PersonX does not open PersonX's mouths,PersonX opens PersonX's mouths
PersonX does not want to impress PersonY,PersonX wants to impress PersonY
PersonX does not take PersonY's medicine,PersonX takes PersonY's medicine
PersonX does not lose PersonX's mother,PersonX loses PersonX's mother
PersonX does not start PersonX's first job,PersonX starts PersonX's first job
PersonX did not grab PersonY's head,PersonX grabs PersonY's head
PersonX does not order for PersonY,PersonX orders for PersonY
PersonX does not enter a race,PersonX enters a race
PersonX does not start a fire,PersonX starts a fire
PersonX does not lose contact,PersonX loses contact
PersonX did not eventually fell,PersonX eventually fell
PersonX does not wrap PersonY's legs,PersonX wraps PersonY's legs
PersonX does not guide PersonY even more forcefully,PersonX guides PersonY even more forcefully
PersonX does not see a man about a dog,PersonX sees a man about a dog
PersonX does not order takeout,PersonX orders takeout
PersonX does not hand PersonY the letter,PersonX hands PersonY the letter
PersonX does not want to dance,PersonX wants to dance
PersonX does not seem like PersonY,PersonX seems like PersonY
PersonX does not explain the rules,PersonX explains the rules
PersonX does not love PersonX's mother,PersonX loves PersonX's mother
PersonX does not pack PersonY's suitcase,PersonX packs PersonY's suitcase
PersonX does not take the girl,PersonX takes the girl
PersonX does not file a complaint,PersonX files a complaint
PersonX does not schedule an appointment,PersonX schedules an appointment
PersonX does not pay the fee,PersonX pays the fee
PersonX does not talk about PersonX's relationship,PersonX talks about PersonX's relationship
PersonX does not plan PersonX's next trip,PersonX plans PersonX's next trip
PersonX does not share PersonX's toy,PersonX shares PersonX's toy
PersonX does not love PersonY best,PersonX loves PersonY best
PersonX does not take care of PersonX's children,PersonX takes care of PersonX's children
PersonX does not play a joke,PersonX plays a joke
PersonX does not take care of everything,PersonX takes care of everything
PersonX does not play a musical instrument,PersonX plays a musical instrument
PersonX does not love school,PersonX loves school
