event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,split,original
PersonX does not win first place in the competition,"[""none""]","[""none""]","[""none""]","[""unskilled"", ""lazy"", ""noncompetitive"", ""upset""]","[""sighs in frustration"", ""gets comforted by family"", ""wants to try harder next time"", ""practices more"", ""feels sad""]","[""none""]","[""compete in something they are passionate about"", ""make sure to  try their best"", ""none""]","[""regret"", ""upset"", ""ashamed"", ""sad"", ""disappointed""]","[""work harder for a future event"", ""feel contempt with their performance"", ""to be disappointed"", ""to win next time""]",trn,PersonX wins first place in the competition
PersonX does not support PersonY's argument,"[""none"", ""scowls at x"", ""breathes an angry breath""]","[""angry"", ""frustrated"", ""annoyed""]","[""none""]","[""argumentative"", ""tough"", ""proud""]","[""he is given a lecture"", ""he is ignored"", ""gets yelled at"", ""gets ignored""]","[""to cause a debate"", ""to stand up for their beliefs"", ""to go his own way"", ""to believe something different""]","[""none""]","[""strong"", ""determined"", ""self righteous"", ""smart""]","[""to form own opinion"", ""to support someone else"", ""to stand with own view"", ""to reject other views""]",trn,PersonX supports PersonY's argument
PersonX does not walk to PersonY's desk,"[""receive thanks for picking items from Persony"", ""talk to both PersonX and Persony"", ""none""]","[""none"", ""annoyed"", ""sad""]","[""none""]","[""sedentary"", ""unmoving"", ""independent"", ""uninterested""]","[""none""]","[""to avoid PersonY"", ""to keep away from PersonY"", ""to give them space"", ""to avoid them""]","[""none""]","[""aloof"", ""unsociable"", ""pleased"", ""proud""]","[""to go out"", ""to stay at their desk"", ""chaged the mind"", ""sit in her desk""]",trn,PersonX walks to PersonY's desk
PersonX does not feel glad,"[""none""]","[""none""]","[""none""]","[""ungrateful"", ""pessimistic"", ""sad"", ""unhappy""]","[""none""]","[""none""]","[""none"", ""attempt an activity"", ""assess how he's feeling""]","[""sad"", ""disappointed"", ""unhappy"", ""depressive""]","[""sulk"", ""find a friend"", ""do something more  fulfilling"", ""find someone to do it with""]",trn,PersonX feels glad
PersonX does not change PersonX's schedule,"[""none""]","[""none""]","[""none""]","[""rigid"", ""determined"", ""routine"", ""boring""]","[""remains with the same routine"", ""doesn't move on"", ""none""]","[""to keep to a strict routine"", ""to not be weighed down with too many commitments"", ""to be stubborn"", ""to keep plans""]","[""none"", ""to set plans"", ""to make commitments""]","[""resolute"", ""stubborn"", ""punctual"", ""relieved"", ""frustrated with others""]","[""talk to their boss"", ""talk to their spouse"", ""to show up on time"", ""to keep the same appointment time""]",trn,PersonX changes PersonX's schedule
PersonX does not tell PersonY's grandma,"[""none""]","[""none"", ""suspicious"", ""anxious""]","[""none"", ""to be reassured and ask X what they said"", ""forget the whole event""]","[""secretive"", ""withholding"", ""coy""]","[""none""]","[""to keep a secret"", ""to be left alone"", ""to not have to deliver the bad news themselves"", ""to avoid an awkward situation""]","[""none""]","[""ashamed"", ""shy"", ""reserved"", ""hesitant""]","[""to keep secrets"", ""keep them in the dark"", ""to tell Y they kept their secret"", ""To discuss things more with Y""]",trn,PersonX tells PersonY's grandma
PersonX does not play with PersonY,"[""none"", ""feels bad"", ""thinks less of person x""]","[""none"", ""bored"", ""lonely""]","[""to cry in the corner"", ""run away from them"", ""none""]","[""selfish"", ""boring"", ""antisocial"", ""solitary""]","[""none""]","[""none"", ""personY to feel lonely"", ""to relax""]","[""none""]","[""lonesome"", ""selfish"", ""relaxed"", ""at peace""]","[""to shun persony"", ""to fight persony"", ""to respect their space"", ""to work with them""]",trn,PersonX plays with PersonY
PersonX does not take a vacation,"[""none""]","[""none""]","[""none""]","[""hardworking"", ""dedicated"", ""a workaholic"", ""hard working"", ""determined""]","[""stays at home"", ""cleans the house"", ""none""]","[""to save money"", ""to stay at home"", ""to care for a sick loved one"", ""to finish all their work before the deadline""]","[""to have a job"", ""to request time off"", ""none""]","[""frugal"", ""homely"", ""overworked"", ""frustrated""]","[""to ask for another time off"", ""continue working hard"", ""to continue working"", ""to spend time with family""]",trn,PersonX takes a vacation
PersonX does not tell PersonY the thing,"[""none"", ""cries"", ""infuriated in pain""]","[""suspicious"", ""untrusting"", ""left out"", ""curious""]","[""none""]","[""tight-lipped"", ""reticent"", ""secretive"", ""mischievous""]","[""none""]","[""to maintain his facade"", ""to preserve his reputation"", ""to keep a secret"", ""to surprise PersonY later""]","[""none""]","[""like a fake"", ""like an imposter"", ""secretive"", ""anxious""]","[""to keep their secrets"", ""to forget about the thing entirely"", ""to be trusted"", ""to be secretive""]",trn,PersonX tells PersonY the thing
PersonX does not call by PersonY's name,"[""none""]","[""none"", ""disrespected"", ""annoyed""]","[""none"", ""to correct personX"", ""to yell at personX""]","[""unfriendly"", ""forgetful"", ""selfless"", ""disinterested""]","[""none""]","[""none"", ""to be different"", ""stand out""]","[""none""]","[""angry"", ""yelled"", ""good"", ""happy""]","[""remember their title"", ""avoid name dropping"", ""to apologize to them"", ""ask for the spelling of their name""]",trn,PersonX calls by PersonY's name
PersonX does not develop PersonY understanding,"[""none""]","[""uneducated"", ""unprepared"", ""confused"", ""lost""]","[""none"", ""to get a better explanation"", ""to end the conversation""]","[""short sighted"", ""uncompassionate"", ""selfish"", ""unintelligent"", ""unintersted""]","[""Given a tutor by parents"", ""Receives proper help"", ""none""]","[""none"", ""to focus energy somewhere else"", ""to rest""]","[""none""]","[""unqualified"", ""unhelpful"", ""disappointed"", ""tired""]","[""to keep trying"", ""to still convince PersonY""]",trn,PersonX develops PersonY understanding
PersonX does not serve the food,"[""starve"", ""get mad"", ""none""]","[""ignored"", ""confused"", ""unhappy to not eat"", ""hungry since they didn't get any food""]","[""none""]","[""tired"", ""unskilled"", ""hustler"", ""hard-working""]","[""gets yelled at"", ""goes hungry"", ""throws food away"", ""none""]","[""...to be heard"", ""was angry about something"", ""to prevent others from becoming ill"", ""prepare better food""]","[""go to the party"", ""take the order"", ""none""]","[""angry"", ""frstrated"", ""annoyed"", ""irritated to have to prepare more food""]","[""go home to eat"", ""serve drinks"", ""to wait on as many tables as possible"", ""to make as much money as they can""]",trn,PersonX serves the food
PersonX did not grab PersonY's bag,"[""none"", ""has to buy new bag"", ""finds a new friend""]","[""none""]","[""to get the bag themselves"", ""to scold PersonX"", ""help with the bags"", ""their bags put in their cat""]","[""selfless"", ""kind"", ""forgetful"", ""unconcerned""]","[""none"", ""is labelled as forgetful"", ""loses persony's trust""]","[""be respectful"", ""avoid suspicion"", ""none""]","[""to be asked to grab the bag"", ""be preoccupied with something else"", ""none""]","[""relieved"", ""polite"", ""angry"", ""unhappy""]","[""to go back and get the bag"", ""to apoligize"", ""keep their hands free"", ""not be helpful""]",trn,PersonX grabs PersonY's bag
PersonX does not win the case,"[""none""]","[""none""]","[""to celebrate their victory"", ""pay the lawyer"", ""none""]","[""unfufilled"", ""unstudied"", ""incompetent"", ""unprepared""]","[""loses case"", ""arrested"", ""none""]","[""none""]","[""go to court"", ""sue someone"", ""to help other"", ""share important points""]","[""disappointed"", ""blameworthy"", ""guilty""]","[""to cut their losses"", ""to appeal the case"", ""to be idle"", ""to take rest""]",trn,PersonX wins the case
PersonX does not take the bus to work,"[""none""]","[""none""]","[""none""]","[""late"", ""irresponsible"", ""pro-walking"", ""car-driving""]","[""none""]","[""was in an hurry"", ""to go"", ""none""]","[""none""]","[""good"", ""happy"", ""rich"", ""accomplished""]","[""to avoid lateness"", ""to avoid penalty"", ""to walk"", ""to drive""]",trn,PersonX takes the bus to work
PersonX does not get laid off,"[""none""]","[""thankful"", ""grateful"", ""none""]","[""none"", ""PersonX to work harder to make up for the lost employees"", ""PersonX to feel grateful to still have a job""]","[""Hardworking"", ""Professional"", ""happy"", ""richer""]","[""gets paid"", ""gets promoted"", ""none""]","[""to keep making a living"", ""keep his current lifestyle"", ""none""]","[""do good work"", ""do their job"", ""to have a job"", ""to work for a company that is having difficulties""]","[""confident"", ""accomplished"", ""grateful"", ""proud""]","[""get a promotion"", ""keep a stable career"", ""to hold onto their job"", ""to update their resume in case they are laid off later""]",trn,PersonX gets laid off
PersonX does not appreciate PersonY's effort,"[""none""]","[""unappreciated"", ""insecure"", ""guilty"", ""remorseful""]","[""to not be friends with personx"", ""to work with someone else"", ""none""]","[""demanding"", ""ungrateful"", ""impolite"", ""rude""]","[""gets yelled at"", ""loses a friend"", ""none""]","[""none""]","[""to be annoyed with persony"", ""to not be helped by persony"", ""Watch personY perform"", ""Focus on personY's actions""]","[""entitled"", ""disappointed"", ""angry"", ""annoyed""]","[""to get help from someone else"", ""to work by themselves"", ""yell at personY"", ""Get more out of personY""]",trn,PersonX appreciates PersonY's effort
PersonX does not play with PersonY's hair,"[""none"", ""Y's hair doesn't move"", ""Y is happy that hair stays in place""]","[""none""]","[""give out some signals"", ""drop a hint"", ""to find someone that wants to touch them"", ""to thank PersonX for not playing with their hair like a creepy person does""]","[""serious"", ""respectful of others' space"", ""respectful"", ""considerate""]","[""none""]","[""none"", ""to do house chore"", ""to sleep""]","[""go out on a date"", ""relax next to PersonY"", ""to keep their hands to themself"", ""not be interested in PersonY's hair""]","[""normal"", ""humane"", ""tired"", ""happy""]","[""wait for the right moment"", ""break the ice"", ""to keep avoiding PersonY's hair"", ""to find something to do with their hands""]",trn,PersonX plays with PersonY's hair
PersonX does not texts PersonY,"[""none""]","[""confused"", ""hurt"", ""understanding"", ""patient""]","[""none"", ""not to reply"", ""to text PersonX""]","[""inconsiderate"", ""unskilled"", ""rude"", ""uncaring"", ""quiet""]","[""none""]","[""to call isntead"", ""to give PersonY space"", ""to call instead"", ""to talk on phone""]","[""none""]","[""pleased"", ""content"", ""busy"", ""in a hurry""]","[""not to wait for a response"", ""to call them instead""]",trn,PersonX texts PersonY
PersonX does not go fishing together,"[""none""]","[""unhappy"", ""disappointed"", ""none""]","[""none""]","[""Not friendly"", ""mean"", ""alone"", ""safe""]","[""none"", ""goes to the zoo"", ""learns new things""]","[""PersonX does not like to fish"", ""PersonX does not have a good fishing pole"", ""to cook"", ""to rest""]","[""none""]","[""relieved"", ""satisfied"", ""happy"", ""good""]","[""to be at home"", ""to not go anywhere"", ""to order takeout"", ""to avoid eating fish""]",trn,PersonX goes fishing together
PersonX does not tuck PersonY in,"[""doesn't fall asleep easily"", ""lays awake"", ""none""]","[""concerned"", ""care for personX"", ""none""]","[""none"", ""to ask person X why they don't to tuck them in"", ""to find someone else who will tuck them in"", ""to tuck themselves in""]","[""careless"", ""inconsiderate"", ""reserved""]","[""none""]","[""none""]","[""to do it alone"", ""to keep person y away"", ""none""]","[""sick"", ""weak"", ""uninterested"", ""uninvolved""]","[""to explain it to person y"", ""to make person y safe"", ""explain to person Y why they don't want to tuck them in"", ""excuse themselves for other things to do""]",trn,PersonX tucks PersonY in
PersonX does not open my door,"[""none""]","[""grateful"", ""appreciative"", ""offended"", ""forgotten""]","[""none""]","[""reluctant"", ""nervous"", ""tired"", ""bored""]","[""none""]","[""to respect my privacy"", ""to not walk in on an awkward sight"", ""respect boundaries"", ""let everyone open their own doors""]","[""to go bathroom"", ""to clean the house"", ""none""]","[""respectful"", ""modest"", ""rude"", ""regret""]","[""to view the door"", ""to be alert all time"", ""remain respectful"", ""give privacy""]",trn,PersonX opens my door
PersonX does not help PersonY's team,"[""none""]","[""sad"", ""unhappy"", ""betrayed"", ""angry""]","[""get help"", ""win by themselves"", ""to ask someone else for help"", ""train on their own"", ""disband the team""]","[""non caring"", ""uninterested"", ""unhelpful"", ""incapable"", ""unskillful""]","[""none""]","[""none"", ""to win"", ""to make sure other team loses""]","[""none""]","[""happy"", ""good"", ""evil"", ""motivated""]","[""help another"", ""stay away"", ""watch personY's team"", ""find out how they can help""]",trn,PersonX helps PersonY's team
PersonX does not meet PersonY's neighbors,"[""none""]","[""none"", ""Offended"", ""Hurt""]","[""introduce themselves to PersonX"", ""ask other neighbors about PersonX"", ""none""]","[""unfriendly"", ""antisocial"", ""uninterested""]","[""none""]","[""none""]","[""be aware of the neighbors"", ""feel antisocial"", ""none""]","[""detached"", ""out of place"", ""Stuck up"", ""Prunish""]","[""to avoid the neighbors"", ""to get the introduction over with""]",trn,PersonX meets PersonY's neighbors
PersonX does not use PersonY's cell phone,"[""none""]","[""grateful"", ""content"", ""none""]","[""none""]","[""a germaphobe"", ""cautious"", ""humane"", ""normal""]","[""needs to find a cell phone"", ""uses their own phone"", ""can't make a call"", ""none""]","[""to avoid germs"", ""to be respectful"", ""to not be a bother""]","[""none"", ""to make a call"", ""locate self's phone""]","[""cautious"", ""respectful"", ""meek"", ""shy""]","[""to use his own cell phone"", ""to use messenger"", ""to buy a new cell phone"", ""receive feedback"", ""thank the contact""]",trn,PersonX uses PersonY's cell phone
PersonX does not find PersonY's expression,"[""none""]","[""none"", ""neglected"", ""ignored""]","[""none""]","[""dense"", ""thoughtless"", ""unintelligent"", ""unfocused""]","[""none"", ""rejected"", ""sad""]","[""none""]","[""to look at PersonY"", ""to avoid making judgement about PersonY"", ""none""]","[""bad"", ""unhappy"", ""inept"", ""useless""]","[""to look back at PersonY again"", ""to see if PersonY has a certain facial expression"", ""to try and impress"", ""to find the expression""]",trn,PersonX finds PersonY's expression
PersonX does not prevent PersonY from seeing,"[""none"", ""Forced to witness the whole event"", ""Overwhelmed with depression""]","[""glad for X's honesty"", ""pleased with the result"", ""reflective"", ""thankful""]","[""none""]","[""kind"", ""thoughtful"", ""giving"", ""caring""]","[""none""]","[""none"", ""to be honest"", ""to help PersonY to see the truth""]","[""none""]","[""forthright"", ""honest"", ""certain"", ""empathetic"", ""exonerated""]","[""Y to do what they want"", ""to be self reliant"", ""to be alone"", ""to focus on study""]",trn,PersonX prevents PersonY from seeing
PersonX does not say PersonY loved PersonY,"[""none""]","[""lonely"", ""sad"", ""none""]","[""none""]","[""secretive"", ""quiet"", ""silent""]","[""none""]","[""to show love"", ""to express their love"", ""none""]","[""none""]","[""sad"", ""lonely"", ""good"", ""excited""]","[""to look for another partner"", ""to think about what love is"", ""to stay out of it"", ""to stay independent""]",trn,PersonX says PersonY loved PersonY
PersonX does not cut PersonY's hand,"[""none"", ""does not die"", ""is not wounded""]","[""thankful"", ""appreciative"", ""scared"", ""apprecative"", ""trepidation""]","[""none"", ""to avoid bloodshed"", ""to be safe""]","[""forbearing"", ""forgiving"", ""careful"", ""gentle""]","[""none""]","[""to avoid injuring PersonY"", ""to keep personY safe"", ""to be kind"", ""not be vegencful"", ""to prevent violence""]","[""none""]","[""capable"", ""skilled"", ""kind"", ""respectful""]","[""to control temper"", ""to avoid getting arrested""]",trn,PersonX cuts PersonY's hand
PersonX does not open PersonY account,"[""none""]","[""unworthy"", ""insecure"", ""moody"", ""unassisted"", ""annoyed""]","[""none""]","[""legal"", ""controlled"", ""forgetful"", ""unsuccessful""]","[""none""]","[""to run a background check"", ""to double check everything first"", ""to not be responsible for PersonY"", ""to force PersonY to be more independent""]","[""none"", ""think to open account"", ""plant to open person y account""]","[""uncertain about PersonY"", ""suspicious"", ""righteouos"", ""adamant""]","[""check their own account"", ""be respectful of boundries"", ""changed the mind and plan"", ""open person x account""]",trn,PersonX opens PersonY account
PersonX does not catch it,"[""none""]","[""none""]","[""none""]","[""careless"", ""irresponsible"", ""clumsy"", ""unathletic""]","[""they get thrown off the team"", ""they are given coaching"", ""none""]","[""none""]","[""to put on the glove"", ""to reach out for the ball"", ""focus on the item"", ""time it's arrival""]","[""incapable"", ""clumsy"", ""lucky"", ""spared""]","[""to throw down the mit angrily"", ""to wait for the coach for instruction"", ""try to catch it next time"", ""stop catching things""]",trn,PersonX catches it
PersonX does not solve PersonY's problem,"[""gets in trouble"", ""cries"", ""none""]","[""disappointed"", ""concerned"", ""unhappy""]","[""none""]","[""unhelpful"", ""lazy"", ""selfish"", ""uncaring""]","[""none""]","[""to stay out of it"", ""to make them figure it out"", ""to avoid personY"", ""to be selfish""]","[""none""]","[""content"", ""pleased"", ""selfish"", ""rude""]","[""to do their own problems"", ""to tech them a lesson"", ""laugh at y"", ""talk behind Y's back""]",trn,PersonX solves PersonY's problem
PersonX does not lie beside PersonY,"[""none"", ""argued with"", ""punished""]","[""sad"", ""depressed"", ""lonely"", ""comfortable""]","[""to snuggle with personx"", ""to get closer to personx"", ""none""]","[""distant"", ""unloving"", ""selfish"", ""afraid""]","[""none"", ""argued with"", ""punished""]","[""to punish person y"", ""to sleep somewhere else"", ""to sleep quietly alone"", ""to respect PersonY's space""]","[""none"", ""notice personY laying down"", ""want to lay down"", ""feel tired""]","[""angry"", ""irritated"", ""tired"", ""prudent""]","[""to friendzone prsony"", ""to avoid sleeping with persony"", ""find a spot away from personY"", ""stay up""]",trn,PersonX lies beside PersonY
PersonX does not return to PersonY's land,"[""none""]","[""none""]","[""to see personX"", ""to fight personX"", ""none""]","[""preoccupied"", ""adventurous"", ""nomadic"", ""abusive"", ""possessive""]","[""none""]","[""to avoid travelling"", ""to stay at home"", ""to buy own place"", ""to stay home""]","[""none""]","[""unadventurous"", ""comfortable"", ""justified"", ""right""]","[""to forget about personY"", ""to end the friendship"", ""to live by themselves"", ""be alone""]",trn,PersonX returns to PersonY's land
PersonX does not tell PersonY tales,"[""yell"", ""cries"", ""none""]","[""grateful"", ""appreciative"", ""bored""]","[""none""]","[""honest"", ""straightforward"", ""untalkative"", ""quiet""]","[""none"", ""Begged to tell tales"", ""Asked to read new story""]","[""to be honest"", ""to be friendly"", ""to always tell the truth"", ""to keep quiet around strangers""]","[""none"", ""to have inform"", ""to choose not to share""]","[""respectful"", ""honest"", ""honest and reliable"", ""shy and timid""]","[""to watch a movie"", ""to go to bed early"", ""to hide his knowledge"", ""to avoid PersonY""]",trn,PersonX tells PersonY tales
PersonX is not in a lot of trouble,"[""none""]","[""free"", ""unencumbered"", ""unweighted"", ""none""]","[""wonder what          personx did"", ""hope it isn't too bad"", ""none""]","[""responsible"", ""calm"", ""forgivable"", ""pardonable"", ""exonerated"", ""apologetic""]","[""none"", ""walks around"", ""goes to a cinema""]","[""to be liked"", ""to be accepted"", ""to be included"", ""to not be troublesome"", ""none""]","[""commit a bad act"", ""clear their tracks"", ""none""]","[""appreciated"", ""gratified"", ""low maintenance"", ""relieved"", ""happy""]","[""make sure not to do something like that again"", ""feel contempt with their cunning act"", ""do something fun"", ""have some food""]",trn,PersonX is in a lot of trouble
PersonX does not accompany PersonY far,"[""none"", ""goes ahead alone"", ""doesn't rely on PersonX""]","[""abandoned"", ""depressed"", ""rejected"", ""lonely""]","[""to continue home"", ""have dinner"", ""none""]","[""rude"", ""unreasonable"", ""busy"", ""unsociable""]","[""none"", ""parts ways with PersonY"", ""lets PersonY go on alone""]","[""to go home"", ""PersonY to go on their own"", ""be alone"", ""to visit someone else""]","[""to be wlaking home with personY"", ""to get off same time as personY"", ""none""]","[""helpful"", ""righteous"", ""pleased"", ""adventurous""]","[""to shower"", ""to go to bed"", ""go their own way"", ""part ways""]",trn,PersonX accompanies PersonY far
PersonX does not cure PersonY's boredom,"[""none""]","[""bored"", ""annoyed"", ""Bored"", ""Unchallenged"", ""Unamused""]","[""go out together"", ""do something fun"", ""to be amused"", ""to get aroused""]","[""dull"", ""uninteresting"", ""boring"", ""contributing to blandness"", ""wearisome""]","[""none""]","[""to do something else"", ""to let them be bored"", ""none""]","[""none""]","[""normal"", ""content"", ""Uninteresting"", ""Incapable of arousing Y's interest, so unproductive"", ""Unamusing""]","[""do something fun"", ""take personY out"", ""to make jokes"", ""to get a reaction""]",trn,PersonX cures PersonY's boredom
PersonX does not celebrate PersonY's day,"[""gets told they're selfish by personX"", ""gets hunted down by personX"", ""none""]","[""none"", ""disappointed"", ""unwanted""]","[""PersonX to remember their birthday and other occasions"", ""to feel appreciated by PersonX"", ""none""]","[""unreceptive"", ""inconsiderate"", ""unimpressed"", ""unenthused""]","[""gets verbally abused by personY"", ""gets left by personY"", ""Scolded by personY"", ""Dumped by personY""]","[""none"", ""to celebrate something else"", ""to work""]","[""none""]","[""forgetful"", ""annoyed"", ""a bit sad"", ""lonely""]","[""to go to work"", ""to have an uneventful day"", ""to stay home and rest"", ""to do something different""]",trn,PersonX celebrates PersonY's day
PersonX does not go to PersonY's car,"[""none""]","[""none"", ""rejected"", ""sad""]","[""none"", ""to know why X avoids them"", ""to see what x is doing""]","[""indecisive"", ""hesitate"", ""discourteous"", ""unfriendly""]","[""none""]","[""they have their own"", ""they weren't invited"", ""to go to their car"", ""be alone""]","[""none""]","[""emoblden"", ""happy"", ""relieved""]","[""stay alone"", ""go to sleep"", ""to walk on their own"", ""to avoid Y""]",trn,PersonX goes to PersonY's car
PersonX does not teach PersonY much,"[""none"", ""doesn't gain knowledge"", ""stresses about test""]","[""ignored"", ""uninformed"", ""stubborn"", ""unwilling to learn""]","[""none"", ""a different teacher"", ""a tutor"", ""to drop out""]","[""incompetent"", ""lacking"", ""unknowledgeable"", ""uncaring"", ""selfish""]","[""none"", ""get looked down on"", ""looses their job""]","[""none""]","[""none"", ""to be PersonY's teacher"", ""to not be a good teacher"", ""to be lazy"", ""to be incompetent""]","[""neglectful"", ""ineffective"", ""more determined"", ""ready to try anything""]","[""to do another work"", ""to go sleep"", ""PersonY to have a tutor"", ""to flunk PersonY""]",trn,PersonX teaches PersonY much
PersonX does not provide PersonY income,"[""none""]","[""angry"", ""annoyed"", ""poor"", ""unsupported""]","[""none"", ""to find a job"", ""ask someone eles for money""]","[""disengaged"", ""uninterested"", ""reluctant"", ""withholding""]","[""none"", ""gets questioned for slavery"", ""takes the blame""]","[""to not be a part of it"", ""to save money"", ""Y to suffer"", ""to keep his money""]","[""none"", ""to earn money"", ""to have extra money"", ""to talk to PersonY""]","[""pleased"", ""happy"", ""vengeful"", ""stingy""]","[""to suggest a job for PersonY"", ""to ask family to help"", ""to get away from PersonY"", ""to save money"", ""to give advice to PersonY""]",trn,PersonX provides PersonY income
PersonX does not wrap PersonY's legs around PersonY's waist,"[""none""]","[""confused"", ""flustered"", ""none""]","[""none""]","[""careful"", ""aware"", ""kind"", ""sympathetic""]","[""Pulled closed by personY"", ""Kissed by personY"", ""none""]","[""to not touch PersonY"", ""to let PersonY be"", ""none""]","[""none""]","[""relieved"", ""guilty"", ""not worried"", ""not bothered""]","[""to be self reliant"", ""to be unpertubed"", ""ask for person Y's permission"", ""work their legs out""]",trn,PersonX wraps PersonY's legs around PersonY's waist
PersonX does not buy a new microwave,"[""none""]","[""none""]","[""none""]","[""unsure"", ""undecided"", ""miser"", ""tight-fisted""]","[""Has to cook food on stove"", ""Cooking takes longer"", ""none""]","[""to keep using their current microwave"", ""to not spend their money"", ""to save money"", ""to try to repair their current one""]","[""wants to bake cake"", ""need new microwave"", ""none""]","[""they have funds"", ""they are not wasteful"", ""happy they could repair it"", ""satisfied they saved money""]","[""ask money from parents"", ""try to buy new one"", ""to save money"", ""wait until this one breaks""]",trn,PersonX buys a new microwave
PersonX does not get hold of PersonY,"[""none""]","[""concerned"", ""ignored"", ""none""]","[""none"", ""to let the message go to voicemail"", ""to hide in their room""]","[""cowardly"", ""mean"", ""forgetful"", ""uncommunicative""]","[""none""]","[""none""]","[""none"", ""to pick up the phone"", ""to dial the phone""]","[""disconnected"", ""worried"", ""bad"", ""unhappy""]","[""to call persony"", ""to text persony"", ""to call again"", ""to call someone else""]",trn,PersonX gets hold of PersonY
PersonX does not break PersonY's nose,"[""none""]","[""relieved"", ""lucky"", ""none""]","[""to thank personX"", ""to get away from personX"", ""to cry"", ""to get away from PersonY""]","[""peaceful"", ""nonviolent"", ""restrained"", ""respectful"", ""caring""]","[""none""]","[""to be merciful"", ""to show restraint"", ""none""]","[""none"", ""to hit PersonY"", ""to be close to PersonY""]","[""merciful"", ""strong"", ""humane"", ""normal""]","[""to make up with personY"", ""to talk to personY"", ""to make up with PersonY"", ""to hit PersonY again""]",trn,PersonX breaks PersonY's nose
PersonX does not write PersonY a ticket,"[""none"", ""does not have to pay ticket"", ""continues with day""]","[""relieved"", ""satisfied"", ""thankful"", ""grateful""]","[""to drive more cautiously"", ""to thank PersonX"", ""to assure PersonX they will be more careful""]","[""considerate"", ""caring"", ""giving"", ""kind""]","[""none""]","[""person y to be on their way"", ""to write a ticket for someone else"", ""to let PersonY off light"", ""to avoid penalizing PersonY""]","[""to pull PersonY over"", ""to choose not to"", ""to walk up to PersonY's vehicle""]","[""charitable"", ""generous"", ""merciful"", ""nice""]","[""to give them a warning"", ""to not write it up"", ""to give PersonY a warning"", ""to make sure PersonY doesn't violate any laws""]",trn,PersonX writes PersonY a ticket
PersonX does not make the coffee,"[""none""]","[""none""]","[""none""]","[""lazy"", ""worthless"", ""allergic"", ""needs milk instead""]","[""sleep off"", ""get a shower"", ""is tired"", ""has no coffee to drink""]","[""none"", ""to drink tea"", ""to drink water""]","[""none""]","[""bored"", ""unexcited"", ""thirsty"", ""satisfied""]","[""go to the store"", ""relax"", ""to drink orange juice"", ""to make something to eat""]",trn,PersonX makes the coffee
PersonX does not win the talent show,"[""none""]","[""none""]","[""applause from others"", ""compete again"", ""none""]","[""incapable"", ""determined"", ""untalented"", ""mediocre""]","[""sighs in frustration"", ""gets comforted by friends"", ""loses status"", ""loses the talent show""]","[""none""]","[""be a participant"", ""have the talent"", ""practice the routine"", ""try to perform their best""]","[""disappointed"", ""embarassed"", ""embarressed by their poor performance"", ""jealous of the winner""]","[""to work hard"", ""compete again"", ""to be better for next years show"", ""to win next time""]",trn,PersonX wins the talent show
PersonX does not get my hair cut,"[""none""]","[""eager to try PersonX's skills"", ""anticipation for cut results"", ""none""]","[""none""]","[""floppy"", ""overgrown"", ""bohemian"", ""apathetic"", ""overworked""]","[""does not get paid for haircut"", ""doesnt use any clippers"", ""looks unkempt"", ""looks rough""]","[""none""]","[""none""]","[""poor lacking tools"", ""experience is needed"", ""defied"", ""upset""]","[""to let their hair grow"", ""fashion their hair"", ""to grow hair"", ""to apply oil""]",trn,PersonX gets my hair cut
PersonX does not call the bank,"[""none""]","[""none""]","[""none""]","[""passive"", ""busy"", ""timid"", ""forgetful""]","[""none""]","[""go online instead"", ""figure the problem out alone"", ""to see if they can get money from somewhere else first"", ""to not be on hold for hours at a time""]","[""none"", ""to look at their bank balances online"", ""to research a question they have on the bank's FAQ section""]","[""independent"", ""capable"", ""not ready to deal with the hassle"", ""confused""]","[""to make online transfer"", ""to withdraw money"", ""to bookmark the page they got help with"", ""to log out of the bank website""]",trn,PersonX calls the bank
PersonX does not prepare food,"[""they go hungry"", ""none""]","[""none""]","[""none""]","[""weak"", ""unskilled"", ""not hungry"", ""lazy""]","[""none"", ""orders for deliveries"", ""enjoys watching a movie""]","[""none"", ""go out to eat"", ""relax""]","[""acquire ingredients"", ""make sure they have funds"", ""none""]","[""lazy"", ""hungry"", ""bored""]","[""acquire food elsewhere"", ""not eat at all"", ""find food to prepare"", ""learn how to prepare food""]",trn,PersonX prepares food
PersonX does not give PersonY's orders,"[""none"", ""PersonY takes orders from someone else"", ""PersonY complies with request""]","[""Has energy"", ""Motivated"", ""furious"", ""disobeyed""]","[""question their capabilities"", ""ask why he/she wasn't ordered"", ""to appeal to personx"", ""to suck up to personx""]","[""quiet"", ""shy"", ""kind"", ""caring""]","[""none"", ""PersonX gives orders to someone else"", ""PersonX receives outcome from someone else""]","[""Gets hired"", ""Starts working"", ""to sabotage person y"", ""to have person y ignored""]","[""find out what needs to be done"", ""find out who to assign"", ""none""]","[""Over worked"", ""Tired"", ""mischiavous"", ""accomplished""]","[""find someone more equipped to order"", ""fire persony for incompetence"", ""to be friends with persony"", ""to fire persony""]",trn,PersonX gives PersonY's orders
