event,oEffect,oReact,oWant,split,xAttr,xEffect,xIntent,xNeed,xReact,xWant
PersonX prevents ___ from accessing,"[""shouts"", ""Others are prevented from advancing"", ""thinks about alternatives"", ""punches wall"", ""Othesr retaliate"", ""wants to fight PersonX""]","[""none"", ""safe and happy""]","[""to know the password"", ""none"", ""to log-in""]",tst,"[""interfering"", ""bossy"", ""stern"", ""rude"", ""hindering"", ""lawful""]","[""none"", ""is yelled at"", ""is cursed at"", ""is criticized"", ""gets pushed by an intruder""]","[""to save others from the danger of drowning"", ""data"", ""to save others from the fire"", ""to save the important thing from others""]","[""to lock the door"", ""to seal the gates"", ""to set a password"", ""to bar the doors""]","[""very sociable"", ""satisfied and dutiful"", ""safe and secure""]","[""to change the password"", ""to protect the castle"", ""to control the situation"", ""to hire a security guard""]"
PersonX rides PersonY's bikes,"[""yells"", ""takes bike back"", ""none""]","[""none"", ""good to have helped"", ""also enjoyment""]","[""none"", ""to lock the bike up"", ""to exercise"", ""to have fun"", ""to put the bike in the garage""]",tst,"[""Adventurous"", ""capable"", ""talented"", ""adventerous"", ""Strong"", ""competent"", ""excited"", ""skilled""]","[""is yelled at"", ""loses chance to ride bike"", ""loses weight"", ""gains aerobic capitcity""]","[""to test out the bikes"", ""to try a different model"", ""to go to the store"", ""to experience life""]","[""to go outdoors"", ""to get PersonY's bikes"", ""to have a bike"", ""to get the combination to the lock"", ""to ask PersonY's permission"", ""to get PersonY's permission""]","[""energized"", ""good to try a product"", ""interested"", ""enjoyment""]","[""to enjoy the weather"", ""to ride the bike back to PersonY"", ""to avoid driving a car"", ""to exercise"", ""to have fun"", ""to get exercise"", ""to fill up the tires""]"
PersonX spends a lot of time together,"[""none""]","[""cherished and cared for.""]","[""to spend quality time together"", ""none"", ""to continue spending time together"", ""to be with PersonX always."", ""to find something else to do""]",tst,"[""Sociable"", ""affectionate"", ""Friendly"", ""loving"", ""clingy"", ""needy""]","[""watches a movie"", ""eats something"", ""PersonX becomes dependant"", ""PersonX gets used to them""]","[""get closer to his girlfriend.""]","[""to make plans"", ""to coordinate things"", ""none"", ""work from home"", ""get married""]","[""affectionate and energized.""]","[""to spend quality time with his wife"", ""to spend less time"", ""to be with his wife most of the time"", ""to continue spending time together""]"
PersonX begins to eat it,"[""none""]","[""none""]","[""none""]",tst,"[""interested"", ""Starving"", ""confident"", ""satisfied"", ""hungry"", ""Nourished""]","[""salivates"", ""enjoys the taste"", ""stomach growls"", ""chews the food""]","[""to eat breakfast"", ""to satisfy hunger"", ""to be happy""]","[""to be hungry"", ""shop for ingredients"", ""prepare for consumption"", ""something to eat"", ""to find something to eat"", ""to have something to eat""]","[""satified"", ""satisfied"", ""content"", ""full""]","[""clean up the dishes"", ""to finish eating"", ""to eat more"", ""to put away the plate"", ""to get something to drink"", ""burp""]"
PersonX is losing weight,"[""none""]","[""none""]","[""none""]",tst,"[""determined"", ""enduring"", ""confident"", ""passionate"", ""happy""]","[""becomes anorexic"", ""becomes vain"", ""is diagnosed with cancer"", ""clothes are too big"", ""buys new clothes"", ""gets healthy""]","[""to look nice"", ""to control diabetes"", ""to be healthier."", ""to feel more comfortable"", ""to be healthy""]","[""decide to get healthy"", ""be overweight"", ""on good diet"", ""do exercise""]","[""more energized"", ""happy."", ""llike a new person"", ""more comfortable"", ""ecstatic""]","[""to be more attractive"", ""become healthy"", ""to be thin"", ""become energetic""]"
PersonX loves the dog,"[""none""]","[""none""]","[""none""]",tst,"[""Passionate"", ""loving"", ""Holding"", ""caring""]","[""PersonX has a sense of loyalty"", ""holds the dog"", ""smiles at the dog"", ""PersonX bonds with the dog"", ""PersonX has a sense of affection"", ""pets the dog"", ""PersonX feels good emotions towards the dog""]","[""the dog is comforting"", ""none"", ""the dog is funny""]","[""none"", ""closely practice"", ""buy new dog""]","[""happy."", ""happy about it"", ""comforted""]","[""very useful"", ""feed the dog"", ""protection"", ""play with dog""]"
PersonX becomes great friends,"[""socialize together"", ""become acquainted"", ""none""]","[""none""]","[""to strike a conversation over lunch"", ""to have fun"", ""have fun"", ""smile""]",tst,"[""sociable"", ""warm"", ""happy"", ""inclusive"", ""accepting"", ""friendly"", ""joyful"", ""social""]","[""meets new people"", ""none"", ""discovers their common interests""]","[""to enjoy friendship""]","[""to find a person to be friends with"", ""spend time with friend"", ""none"", ""be nice to friend"", ""trust each other"", ""love each other""]","[""happy with himself""]","[""to get lunch with his friend"", ""play games"", ""to hang out with his friend"", ""eat fun foods""]"
PersonX brings ___ to PersonY eyes,"[""Walks away from X"", ""none"", ""persony changes their actions"", ""Cries"", ""persony calls their parents for support""]","[""overwhelmed""]","[""to wear glasses"", ""to apply eye make up"", ""to look it over"", ""to give their opinion"", ""to close their eyes""]",tst,"[""weary"", ""overwhelmed"", ""helpful"", ""cruel"", ""understanding"", ""mean""]","[""PersonX gives a moving speech"", ""Apolgizes"", ""none"", ""PersonX says something unkind"", ""Laughs""]","[""none""]","[""to go to PersonY"", ""to of gotten the paperwork"", ""to think personY might want to see it"", ""to talk to PersonY""]","[""proud""]","[""to give PersonY some kleenex"", ""to see what they say"", ""to put some eyedrops in PersonY's eyes"", ""to do what personY tells them is best""]"
PersonX uses PersonY's coupons,"[""No longer can save money"", ""none"", ""calls"", ""yells"", ""Becomes agitated""]","[""happy someone saved money with the coupons"", ""angry to lose the coupons"", ""grateful""]","[""none"", ""yell"", ""to ask for favour"", ""take coupons back"", ""to go for shopping""]",tst,"[""Thrifty"", ""cheap"", ""economical"", ""thrifty"", ""Grateful""]","[""pays less"", ""saves money"", ""smiles"", ""Causes irritation in person y"", ""Saves money he shouldnt have saved"", ""gets a call""]","[""to save money instead of persony saving"", ""to use them"", ""to save money using coupons""]","[""to have access to Y's cellphone"", ""search for items"", ""to be friend with Y"", ""visit store"", ""cut the coupons out"", ""cut coupons""]","[""happy they saved money"", ""happy to save money"", ""grateful""]","[""to shop online"", ""organize coupons"", ""return"", ""save money"", ""to buy other coupon"", ""pay for items""]"
PersonX prevents ___ from voting,"[""person isnt sick"", ""face turns red"", ""person doesn't vomit"", ""go home"", ""shakes fist"", ""wait""]","[""upset"", ""disenfranchised"", ""weak""]","[""to retaliate"", ""to fight to vote"", ""to report PersonX to authorities"", ""to have rights"", ""to confront PersonX"", ""to obey""]",tst,"[""determined"", ""illegal"", ""Strong"", ""Opinionated"", ""dominant"", ""immoral""]","[""is hit in the face"", ""person is safe"", ""Is handcuffed"", ""person is clean"", ""is arrested"", ""falls backward""]","[""power"", ""his side to win"", ""to sway an election""]","[""to hinder others"", ""none"", ""to tell someone not to vote"", ""to physically hold someone back"", ""to exercise dominence""]","[""okay"", ""empowered""]","[""to continue preventing people from voting"", ""to make sure his party will win"", ""to win the election"", ""to oppress others"", ""to let someone vote"", ""to show superiority""]"
PersonX puts the top,"[""none""]","[""none""]","[""to make sure they have shade"", ""none"", ""to make sure the top is safe""]",tst,"[""brave"", ""capable"", ""scared"", ""purposeful"", ""comfortable"", ""curious"", ""happy"", ""perfect""]","[""drinks"", ""none"", ""looks at what they did"", ""rests"", ""finishes the project""]","[""to cover""]","[""pick up the top"", ""to ask for help"", ""find the top"", ""grab a top"", ""find a top"", ""to lift the top""]","[""protective""]","[""be proud of what they did"", ""enjoy top placement"", ""to look at a mirror"", ""to make sure people are safe"", ""to feel hot"", ""to secure the top""]"
PersonX takes the stand,"[""none""]","[""none"", ""concerned for the judge's outcome""]","[""to be entertained"", ""to graps what PersonX is talking about"", ""to be informed"", ""to hear a message"", ""to understand PersonX""]",tst,"[""nervous"", ""Brave"", ""Nervous"", ""brave""]","[""personx puts energy to take the stand""]","[""to obey the law"", ""to be loyal"", ""to conceal the truth"", ""to tell the truth""]","[""figure out how to take a stand"", ""none"", ""to think of a cause that's meaningful""]","[""patriotic"", ""concerned about the truth"", ""anxious about rebuttal"", ""concerned about the consequences""]","[""to be heard"", ""to inform a croud"", ""to deliver a speech"", ""to tell others"", ""to perform""]"
PersonX walks to PersonY's room,"[""asks person to sit"", ""none"", ""gets calmed"", ""acknowledges person"", ""screams""]","[""important"", ""none""]","[""ignore them"", ""Tells him to do his chores."", ""to be left alone"", ""Then they will be square.""]",tst,"[""independent"", ""disciplined"", ""mobile"", ""intrusive""]","[""goes through door"", ""gets stopped"", ""they get startled"", ""they smile"", ""gets thrown out"", ""is greeted by persony""]","[""to move"", ""to visit"", ""to meet persony""]","[""He needs to Barrow money."", ""go up the stairs"", ""Walks down the hall."", ""to get up""]","[""active"", ""connected""]","[""Ask nicely for it."", ""to talk"", ""Tells him thanks."", ""see what they are doing""]"
PersonX is hot and humid,"[""none""]","[""none""]","[""none""]",tst,"[""Exercising"", ""dissatisfied"", ""Intense"", ""Hot"", ""Humid"", ""irritable""]","[""PersonX sweats a lot"", ""be carefull"", ""PersonX gets lightheaded"", ""to be safe"", ""needs a drink of water"", ""wants to go inside""]","[""none""]","[""none""]","[""tired"", ""sweaty""]","[""to drink water"", ""to jump in a pool"", ""to swim"", ""to take off their shirt"", ""to cool down"", ""to get to the air conditioning""]"
PersonX sets PersonY off,[],[],[],tst,[],[],[],[],[],[]
PersonX finishes ___ last night,"[""none""]","[""none""]","[""to give them a grade"", ""none"", ""to see what they learned""]",tst,"[""ambitious"", ""hardworking"", ""complete"", ""prompt"", ""finished"", ""conscientious""]","[""forgets about it"", ""falls asleep"", ""goes to bed""]","[""to have the task completed that day"", ""to be efficient""]","[""be on a deadline"", ""have an assigment"", ""To work hard"", ""to have to do it"", ""to of gotten it done"", ""To be dedicated""]","[""satisfied"", ""relieved and pleased to be finished""]","[""to get a good grade"", ""To finish work"", ""To relax"", ""go to sleep"", ""to turn it in"", ""submit assignment""]"
PersonX finds a gold ring,"[""none""]","[""upset"", ""none""]","[""none""]",tst,"[""lucky"", ""successful"", ""fortunate"", ""surprised""]","[""gets curious"", ""jumps with joy"", ""gets excited and jumps"", ""screams with joy""]","[""none""]","[""none"", ""search for ring"", ""Gets ready for party""]","[""curious whos ring it is"", ""happy"", ""lucky""]","[""to keep the ring"", ""wears a ring"", ""to sell it for money"", ""goes to party""]"
PersonX finds a pay phone,"[""none""]","[""anxious"", ""none"", ""happy"", ""relieved""]","[""To talk with x"", ""To pick up the ringing phone"", ""none""]",tst,"[""lucky"", ""desperate"", ""observant"", ""lonely"", ""stuck"", ""freaked out""]","[""PersonX turns into superman"", ""thinks about calling someone"", ""wonders if he has any change"", ""checks dial tone"", ""deposits coin"", ""PersonX makes a collect call""]","[""to call somebody"", ""to call someone""]","[""To scan their surrondings"", ""to decide to call someone"", ""none"", ""to look for a pay phone"", ""to have there eyes open""]","[""positive if he manages to find it."", ""content"", ""safe"", ""relieved""]","[""to connect with someone"", ""to make a call"", ""To dial someone"", ""To Put momey on phone"", ""to dial a number"", ""to grab their quarters""]"
PersonX gets ___ on the paper,"[""yells"", ""none"", ""cries""]","[""none""]","[""none""]",tst,"[""smart"", ""Intelligent"", ""careless"", ""devastated"", ""disheartened"", ""Hard working""]","[""covers wound"", ""gets congratulated"", ""earns some money"", ""they learn a new skill"", ""gets yelled at or rebuked"", ""screams"", ""their grades improve""]","[""none""]","[""to pull out a pen"", ""to study"", ""to go to school"", ""to be on time"", ""study"", ""to think about what to write"", ""write the paper""]","[""smart"", ""happy"", ""sad""]","[""take a nap"", ""to throw the paper away"", ""to clean up the spill"", ""go to sleep"", ""have a party"", ""to celebrate""]"
PersonX licks PersonY's balls,"[""heart rate increases"", ""PersonY makes love to PersonX"", ""PersonY continues to pleasure PersonX"", ""ejaculates"", ""becomes hard"", ""has sex with person X""]","[""satisfied"", ""important and powerful"", ""powerful""]","[""to fornicate"", ""encourage PersonX"", ""to make love"", ""push PersonX away""]",tst,"[""playful"", ""nasty"", ""passionate"", ""animated"", ""disgusting""]","[""heart rate increases"", ""PersonX initiates sexual activity with personY"", ""is sexually active"", ""PersonX is aroused and turned on"", ""bad taste in mouth"", ""gets pregnant""]","[""pleasure person y"", ""to get ahead through flattery"", ""to suck up""]","[""to get permission"", ""ask for consent"", ""to take personY's balls out"", ""take PersonY's clothes off""]","[""hopeful their actions worked"", ""a loss of self-esteem"", ""cheap""]","[""engage sex"", ""to get eaten out herself"", ""to masturbate"", ""see PersonY's reaction""]"
PersonX ends one's ___,"[""none""]","[""none"", ""lost because they don't understand why he is gone""]","[""none""]",tst,"[""lazy"", ""decisive"", ""finished"", ""suicidal""]","[""none""]","[""none"", ""to die, he is sad""]","[""to determine what they want to do"", ""to think about the situation"", ""to purchase a gun"", ""to load the gun""]","[""stressed at the change of events"", ""nothing because he is dead""]","[""to let go"", ""to move on to better things""]"
PersonX throws the ball,"[""PersonY is hit on the head with the ball"", ""none"", ""PersonY cries in pain""]","[""none""]","[""throw the sports equipment"", ""watch the game to see what is happening next"", ""to play catch with PersonX"", ""to plan out their next move"", ""to win a ball game"", ""to organise another game day"", ""play with the other person""]",tst,"[""sporty"", ""athletic"", ""determined"", ""outdoorsy"", ""skilled""]","[""none""]","[""to score a basket"", ""to get the player out"", ""to play"", ""to play catch""]","[""to buy a ball"", ""pick up a sports piece of equipment"", ""to join a team"", ""catch sports equipment that was thrown to him"", ""to catch the ball"", ""to join friends for a game""]","[""like a winner"", ""tired""]","[""to be prepared to catch the ball again"", ""begin playing a sport"", ""have someone throw sports equipment back"", ""to see who has the ball and what is happening next"", ""to play catch with friends"", ""to win a ball game""]"
PersonX gives PersonY a note,"[""becomes aware of the note"", ""receives a note"", ""reads note"", ""smiles"", ""blushes""]","[""none"", ""curious"", ""wanted"", ""surprised""]","[""to respond"", ""to reply to PersonX"", ""to read the note"", ""to pass the note to someone else"", ""to read what was written"", ""to show the note to the teacher"", ""to respond to the note""]",tst,"[""secretive"", ""ready"", ""stealthy"", ""sneaky"", ""prepared"", ""effective""]","[""pulls their hand back from handing the note to PersonY"", ""none"", ""gets a reaction from PersonY""]","[""to tell something to persony"", ""to communicate information"", ""to inform""]","[""to be in class"", ""to write the note"", ""to write something"", ""to write something on the note"", ""to get paper and a pen"", ""to find person Y"", ""to be scare of talking to PersonY""]","[""nervous"", ""satisfied"", ""excited"", ""happy""]","[""to await a response"", ""to read a response"", ""to talk to PersonY about the note"", ""to smile at PersonY"", ""to write another note"", ""to hear PersonY's response""]"
PersonX does an amazing job,"[""none""]","[""none""]","[""none""]",tst,"[""dependable"", ""thorough"", ""capable"", ""persistent"", ""competent"", ""skilled""]","[""gets a raise"", ""Gets increment"", ""earns more money"", ""gets praise"", ""Get good compliment form boss."", ""gets a promotion""]","[""to keep their job"", ""to get a promotion"", ""to impress people"", ""to get praised""]","[""to work hard"", ""meet all demands"", ""none"", ""pay attention to details"", ""to give good accuracy""]","[""great"", ""proud"", ""fulfilled"", ""good about themselves"", ""ecstatic"", ""happy""]","[""get paid"", ""get a promotion"", ""get a reward"", ""take a lunch break"", ""to relax"", ""to celebrate""]"
PersonX gets the milk,"[""none""]","[""none"", ""appreciative""]","[""none""]",tst,"[""industrious"", ""decisive"", ""Thirsty"", ""caring"", ""Drinking"", ""purposeful""]","[""spends money"", ""Has a glass to drink"", ""Has some cereal"", ""becomes strong"", ""waits in line"", ""gains weight"", ""exerts energy""]","[""milk"", ""to be relaxed"", ""to eat it with cookies"", ""to make something"", ""to drink something"", ""to quince thirst""]","[""pay for it"", ""to go the store""]","[""thirsty"", ""satisfied"", ""happy"", ""accomplished""]","[""put it in the fridge"", ""drink it""]"
PersonX reads the note,"[""none""]","[""none""]","[""none""]",tst,"[""observant"", ""informed"", ""curious"", ""engaged"", ""careful""]","[""PersonX learns new information"", ""Puts note away"", ""Thinks about note"", ""PersonX gets directions""]","[""to be informed."", ""to be knowledgable."", ""to know what the note said""]","[""none"", ""to have learned how to read"", ""be in a place where he can pick up the paper""]","[""in the know."", ""happy"", ""informed"", ""included.""]","[""to write a reply"", ""take the paper home"", ""to pen down a response"", ""put the paper back down"", ""follow the instructions""]"
PersonX sleeps tonight,"[""none""]","[""none""]","[""none""]",tst,"[""EARLY"", ""FAST"", ""tired"", ""exhausted""]","[""turns off the light"", ""is energized in the morning"", ""is well rested"", ""has happy dreams"", ""lies down on bed"", ""none"", ""have eyes closed""]","[""to feel rested"", ""to pass time""]","[""none"", ""take a quick shower"", ""put on his pajamas""]","[""rested"", ""awake""]","[""to be energized for the next day"", ""to go to work earlier than usual."", ""to relax"", ""to feel fresh in the morning.""]"
PersonX practices ___ for weeks,"[""none""]","[""none""]","[""none"", ""for it to sound good"", ""to hear them play""]",tst,"[""talented"", ""motivated"", ""artistic"", ""creative""]","[""none"", ""gains experience"", ""improves their talents"", ""masters a new skill"", ""learns something""]","[""to improve their dancing skills"", ""to learn a new skill"", ""to be better""]","[""to want to improve"", ""to find a hobby"", ""none"", ""take lessons"", ""to have a guitar"", ""buy a guitar"", ""get the violin out of its case"", ""tune the violin"", ""to continuously do it""]","[""satisfied"", ""motivated"", ""accomplished""]","[""to be a music teacher"", ""to get the trophy"", ""join a band"", ""to show others their skills"", ""perform on stage"", ""to play in an orchestra"", ""to get better"", ""to win the match""]"
PersonX comes again,"[""none""]","[""none"", ""happy""]","[""to catch up"", ""to ask X what she used to stimulate herself"", ""none"", ""to block X's email"", ""to counsel X to seek help"", ""to offer some refreshments"", ""serve drinks""]",tst,"[""faithful"", ""enthusiastic"", ""fair"", ""excited"", ""repetitive"", ""familiar""]","[""recognizes place"", ""sweats"", ""gets exercise"", ""re-experiences event""]","[""return"", ""to repeat something"", ""to visit his friends a lot""]","[""have been somewhere the first time"", ""to get the proper equipment needed to make her come"", ""to drive in their car"", ""none"", ""to find the location"", ""decide to return"", ""to watch something racy to get stimulated""]","[""affectionate and glad"", ""accomplished"", ""welcomed""]","[""look for something"", ""to post something anonymously on fb"", ""socialize"", ""to send a racy email to someone"", ""gain experience"", ""to say hi to everyone"", ""to spend some time looking aroun"", ""to take a shower"", ""to get something""]"
PersonX sits at PersonY's feet,"[""none"", ""gets foot cramps"", ""hurts their foot""]","[""angry"", ""none"", ""content"", ""awkward""]","[""to say hello to personx"", ""have a discussion with personx"", ""to be close to another"", ""To say goodbye to PersonX"", ""to interact"", ""To return to their activities""]",tst,"[""accomodating"", ""insecure"", ""sorry"", ""caring"", ""grieved"", ""submissive""]","[""PersonX shifts and struggles to see from a worms-eye view"", ""gets kicked"", ""listens"", ""PersonX jumps from discomfort"", ""is kicked"", ""gets engaged in conversation""]","[""to keep persony close"", ""to sit at y's feet"", ""to be near to person y""]","[""to be close"", ""To find arrange time with PersonY"", ""none"", ""To visit PersonY"", ""to show affection""]","[""no diffrent"", ""satisfied"", ""content"", ""nervous""]","[""To return home"", ""to be comforted"", ""To reflect on what PersonY said"", ""to interact"", ""to look up at persony"", ""to touch persony's feet""]"
PersonX earns more money,"[""none""]","[""none"", ""secure""]","[""none"", ""to thank PersonX"", ""to consider PersonX for a promotion""]",tst,"[""ambitious"", ""smart"", ""wealthy"", ""hardworking"", ""successful"", ""responsible"", ""engaged""]","[""beggars come up to him more often"", ""none"", ""smiles because he can buy more things""]","[""none"", ""to save money"", ""financial peace""]","[""to work hard"", ""has a job"", ""Graduate high school."", ""He graduates College."", ""to get attention"", ""to earn salary""]","[""wealthy"", ""industrious"", ""financially secure"", ""content"", ""in control"", ""secure""]","[""to be a success"", ""He gets a new job."", ""He saves his money."", ""to save the money"", ""to invest the money"", ""to take care of responsibilities""]"
PersonX taketh PersonY's ___ in vain,"[""none""]","[""bad"", ""betrayed"", ""unliked"", ""insulted""]","[""to get control"", ""to gain an advantage"", ""to forgive."", ""none"", ""to know why.""]",tst,"[""infidel"", ""heretic"", ""disbeliever"", ""frustrated"", ""angry"", ""hopeless""]","[""gets into trouble"", ""goes to confession"", ""is chastised"", ""is struck down by lightning""]","[""to insult person y"", ""to be rude to persony"", ""to relieve some frustrations""]","[""to swear."", ""none"", ""to determine the correct response"", ""to understand the situation"", ""to be religious.""]","[""remorseful"", ""incensed"", ""powerful""]","[""to get control"", ""to gain an advantage"", ""to repent."", ""to defame"", ""to blaspheme"", ""to apologize.""]"
PersonX shows PersonY's mother,"[""she smiles at PersonX"", ""she eats a hotdog""]","[""devastated and hurt.""]","[""to compliment PersonX"", ""to stop being friends with PersonX"", ""to ask PersonX why they did it"", ""to get inspiration from what PersonX has showed""]",tst,"[""compassionate"", ""great"", ""Charming"", ""caring"", ""emotional"", ""kind"", ""Generous"", ""humane""]","[""they go to the zoo"", ""they get a hotdog""]","[""them to know the news first.""]","[""to go to PersonY's mother"", ""to prepare for the visit"", ""to talk to PersonY's mother"", ""to meet with PersonY's mother""]","[""embarrassed at presenting the bad news.""]","[""to hear praise"", ""to see the reaction of PersonY's mother"", ""to go out with PersonY"", ""to talk to PersonY""]"
PersonX hears a scary noise,"[""none""]","[""none""]","[""none""]",tst,"[""terrified"", ""cowardly"", ""startled"", ""sensitive"", ""nervous"", ""frightened"", ""afraid""]","[""Screams"", ""Has panic attack""]","[""none""]","[""none""]","[""anxious"", ""terrified"", ""worried"", ""afraid"", ""fearful""]","[""to call 911"", ""find the source of the noise"", ""to turn on the lights"", ""hide under a blanket"", ""call the police"", ""to scream"", ""check to see what made the noise""]"
PersonX lands a job,"[""hopes they do well"", ""none"", ""wants to hear how it goes""]","[""none"", ""proud""]","[""to congratulate PersonX"", ""none"", ""to celebrate with PersonX"", ""to mentor PersonX"", ""to congratulate PersonX on getting a job""]",tst,"[""lucky"", ""proud"", ""ecstatic"", ""grateful"", ""excited"", ""relieved""]","[""wants to tell their friends"", ""hopes they do good"", ""jumps"", ""gets excited""]","[""to pay their own bills"", ""to earn"", ""to make money""]","[""to interview for a job"", ""to apply for a job"", ""to search for a job"", ""to apply for the job"", ""successfully complete the interview"", ""to interview for the job"", ""apply for the job""]","[""proud"", ""confident"", ""happy and satisfied"", ""independent"", ""excited""]","[""to tell their friends they got a job"", ""to carry out the job"", ""celebrate"", ""to learn how to do the job"", ""call family & friends to tell them the good news"", ""to celebrate""]"
PersonX sees PersonY's girlfriend,"[""stops to talk to person X"", ""none"", ""Person Y' girlfriend waves back at person X"", ""blushes"", ""runs away""]","[""none"", ""surprised""]","[""none""]",tst,"[""aware"", ""observant"", ""insightful"", ""social""]","[""gets called"", ""waves sat her"", ""stops to talk to her"", ""observes her"", ""gets stoped"", ""takes note of her""]","[""none""]","[""none""]","[""fine happy"", ""like they want to say hi""]","[""to"", ""tell someone"", ""hang out with girlfriend"", ""meet"", ""say hi"", ""sleep with girlfriend""]"
PersonX dyes PersonY's hair,"[""pays for the dye job"", ""become angry"", ""gives thanks"", ""looks at hair"", ""pays"", ""gets hair dyed""]","[""satisfied, served"", ""helped"", ""happy""]","[""pay PersonX"", ""to look at what they did"", ""none"", ""dye it a different color"", ""to style their hair"", ""thank PersonX""]",tst,"[""smart"", ""Coloring"", ""creative"", ""talented"", ""Working"", ""adventurous""]","[""gets thanks"", ""gets paid"", ""waits for hair to dry"", ""gets hands dirty"", ""cleans up"", ""gets yelled at""]","[""to be friendly"", ""to help the other person"", ""to help person""]","[""to get out the dye"", ""purchase materials"", ""to get a chair"", ""to choose a hair color"", ""to buy hair dye"", ""set aside the time for it"", ""meet"", ""choose a color""]","[""happy, content, helpful"", ""accomplished""]","[""to shampoo the hair"", ""follow-up later"", ""to look at what they did"", ""to blowdry the hair"", ""to clean up"", ""make sure it's perfect"", ""get paid""]"
PersonX looks ___ like PersonY,"[""none"", ""smiles"", ""blushes"", ""is confused for PersonX"", ""is complimented""]","[""none""]","[""to talk to PersonX"", ""none"", ""To talk to X"", ""To have a conversation with X"", ""to see PersonX""]",tst,"[""conventional"", ""identical"", ""nothing"", ""somewhat"", ""familiar""]","[""gets confused for"", ""is confused for PersonY"", ""gets mistaken for"", ""stares"", ""opens mouth"", ""is complimented""]","[""to make them feel better"", ""none"", ""to make them laugh"", ""to insult them""]","[""none"", ""to know PersonY"", ""to understand PersonY""]","[""humorous"", ""unoriginal"", ""friendly"", ""mean"", ""excited because both are looks same""]","[""to imitate PersonY"", ""get new shoes"", ""to talk to PersonY"", ""To talk to Y"", ""To converse with Y"", ""to change""]"
PersonX lives next door,"[""none""]","[""none""]","[""to find out about him"", ""to mingle with him"", ""none""]",tst,"[""a man"", ""a child"", ""a woman"", ""neighborly"", ""responsible"", ""nice"", ""mature"", ""a baby""]","[""none""]","[""none""]","[""none"", ""He moves out of his parents."", ""He takes his stuff.""]","[""disdain towards their neighbor's loud music."", ""glad.""]","[""He goes over all the time."", ""He surprises his parents."", ""to be good neighbor"", ""to enjoy community"", ""to help me"", ""to become my friend""]"
PersonX follows ___ carefully,"[""run away"", ""are arrested"", ""none""]","[""none""]","[""none"", ""hide"", ""elude x""]",tst,"[""dedicated"", ""lost"", ""dependant"", ""careful""]","[""none""]","[""to fulfill his aim"", ""to be safe"", ""to be an upstanding citizen""]","[""to find the book"", ""to know the directions"", ""to think they should be followed"", ""to search for it"", ""observe suspect"", ""read instructions""]","[""anxious"", ""responsible"", ""happy"", ""completed""]","[""to do things right"", ""to excel"", ""to make sure to do it right"", ""to prepare a nice dinner"", ""to make a delicious dinner"", ""enjoy the results of his careful actions"", ""to better his/her skills"", ""to relish it"", ""to do a good job"", ""capture suspect""]"
PersonX loses track of the time,"[""none""]","[""none""]","[""none""]",tst,"[""careless"", ""uncoordinated"", ""unaware"", ""clumsy"", ""enthralled"", ""aloof""]","[""gets absorbed"", ""realizes the time and panicks"", ""gets in trouble"", ""Gets late"", ""Misses his meeting"", ""misses an event""]","[""none""]","[""She enjoys painting."", ""none"", ""She's only allowed 2 hours.""]","[""terrible"", ""like time is passing by quick""]","[""Stop what she's doing."", ""get to where they need to be fast"", ""rush to activity"", ""focus on what there are doing at that moment"", ""Hurry and go pick up her boyfriend."", ""buy a watch""]"
PersonX asks anyone,"[""none"", ""makes a friend"", ""learns from them to""]","[""confused too""]","[""none"", ""Answer person X's question."", ""Tell person X what they need to know.""]",tst,"[""inquisitive"", ""determined"", ""persistent"", ""desperate"", ""curious""]","[""gets the answers"", ""gets ignired"", ""makes friends"", ""learns a lot""]","[""none""]","[""none""]","[""confused about the answer""]","[""to take rest"", ""to continue reading"", ""Find out the answer to their question."", ""Make sure it is the right answer.""]"
PersonX invites PersonY over,[],[],[],tst,[],[],[],[],[],[]
PersonX gets snacks,"[""none""]","[""none"", ""good""]","[""none""]",tst,"[""Hungry"", ""Ravenous"", ""tired"", ""famished"", ""hungry""]","[""chews"", ""tosses out waste"", ""has something to eat"", ""gets energized"", ""opens their mouth"", ""swallows""]","[""to be prepared"", ""to eat a snack"", ""quick bite to eat""]","[""to get the money"", ""order the food""]","[""satisfied"", ""good"", ""less hungry""]","[""to eat snacks"", ""to eat"", ""to relax on the couch"", ""to clean up""]"
PersonX takes things for granted,"[""It may affect others feelings"", ""none"", ""He will more responsible for his activities""]","[""none""]","[""to stay away from PersonX"", ""none"", ""to ignore PersonX""]",tst,"[""spoiled"", ""arrogant"", ""careless"", ""inconsiderate"", ""presumptuous"", ""aloof""]","[""gets punished"", ""He will do whatever he want to do"", ""gets ripped of"", ""He may think that he can do anything as he wish""]","[""to not be bothered"", ""none"", ""to trust everyone""]","[""to have wasted resources"", ""none"", ""to have been lazy at work"", ""to have used their money on unnecessary things""]","[""ambivalent"", ""complacent"", ""good about himself"", ""happy""]","[""to know the value of the money earned"", ""doesn't enjoy things for their worth"", ""go through life not appreciating things"", ""to have good things happen to them"", ""to make other people do what they want"", ""to start appreciating things""]"
