event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,split,original,neg_cue,neg_cue_type
PersonX  has no need,"[""none""]",,"[""none""]","[""satisfied"", ""self-sufficient"", ""unphased"", ""independent""]","[""eat"", ""sleep"", ""X finds out others do have need"", ""X's house is looted by those that do not have his wealth""]",,"[""none""]",,"[""to carry out another duty"", ""to relax"", ""PersonX feel lonely"", ""Stay at home""]",tst,PersonX wants so badly,no,single_word
PersonX avoids PersonY's friends.,"[""gets angry at person x"", ""looses them as a friend for being rude"", ""gets the answer that PersonX doesn't like them"", ""PersonX says he wants to leave""]",,"[""none""]","[""rude"", ""cowardly"", ""unfriendly""]","[""none"", ""is asked why they are acting so unfriendly"", ""is asked if they want to leave""]",,"[""locate the friends"", ""feel awkward"", ""see PersonY's friends""]",,"[""to sigh in relief"", ""to go home""]",tst,PersonX meets PersonY's friends,avoid,verb
PersonX barely eats,"[""none""]","[""sad for her if they notice"", ""angry at her if they notice"", ""none""]","[""none""]","[""uninterested"", ""satiated"", ""starving"", ""punitive""]","[""will get sick"", ""lose weight"", ""gets thinner"", ""loses weight""]","[""to be thin"", ""to hurt themself"", ""to do something else that requires them to avoid eating"", ""to eat something else"", ""to be left alone"", ""to go somewhere else"", ""to lose weight"", ""to form a protest""]","[""to be hungry"", ""to be like to eat"", ""to be sick"", ""to not be able to keep down food"", ""gets hungry ready foe some"", ""foods are waiting in home""]","[""happy about their success"", ""angry that it's not enough - that they \""barely\"" ate instead of \""never\"" ate"", ""defiant"", ""upset"", ""full"", ""starved"", ""justified"", ""hungry"", ""faint"", ""tired""]","[""to eat more"", ""to eat his favorite food"", ""to go to the doctor"", ""to get medication and feel better"", ""get a hungry foods"", ""taste good and eat well""]",tst,PersonX eats everything,barely,single_word
PersonX is uninterested in learning to play an instrument.,"[""none""]",,"[""none""]","[""disinterested"", ""incurious"", ""uninterested"", ""lazy""]","[""get out form the class"", ""go to dance class"", ""loses band"", ""misses opportunity""]",,"[""none""]",,"[""Not play"", ""Not learn"", ""to do their own thing"", ""pursue interests""]",tst,PersonX wants to learn how to play the piano,uninterested,affixes_adj
PersonX fails to thank PersonY.,"[""none"", ""receives a note in the mail"", ""answers the phone""]",,"[""none"", ""to take the gift back"", ""to call them out""]","[""mean"", ""lazy"", ""rude"", ""ungrateful""]","[""gets a dirty look"", ""gets a back turned on him"", ""writes a note"", ""makes a phone call""]",,"[""none"", ""to be talking to Y"", ""to receive a gift""]",,"[""to apologize"", ""to make it up to persony"", ""apologize"", ""say thank you""]",tst,PersonX thanks PersonY's profusely,fail,verb
PersonX refused,"[""none""]",,"[""none""]","[""stubborn"", ""doubtful"", ""determined""]","[""get to home"", ""fall asleep"", ""gets reprimanded"", ""gets yelled at""]",,"[""none"", ""to find some opportunities"", ""to got some money""]",,"[""to be happy of their decision"", ""to feel proud"", ""to get from other"", ""to enjoy with what he have""]",tst,PersonX reluctantly accepted,refuse,verb
PersonX refuses to prepare for the exam,"[""none""]",,"[""none""]","[""irresponsible"", ""defiant"", ""lazy"", ""uncaring""]","[""fails exam"", ""flunks test"", ""fails class""]",,"[""none"", ""plan to meet person""]",,"[""to fail the exam"", ""to take another exam"", ""plan to meet person""]",tst,PersonX studies for an exam,refuse,verb
PersonX makes no sense at all,"[""became puzzled"", ""thinks of calling Dr"", ""none""]",,"[""none""]","[""crazy"", ""demented"", ""confused"", ""disorganized""]","[""none"", ""feel angry"", ""become mad""]",,"[""none""]",,"[""to go to bed"", ""to recover from their illness"", ""to explain themselves clearly"", ""to communicate their needs""]",tst,PersonX makes much sense,no,single_word
PersonX fails to achieve PersonX's goals,"[""none""]",,"[""none""]","[""unsuccessful"", ""unskillful"", ""a failure"", ""angry at themselves""]","[""to improve the skills"", ""to concentrate on studies"", ""screams"", ""cry""]",,"[""to make plans"", ""to try to get to goals"", ""to prepare well"", ""to ready for a match""]",,"[""to keep trying"", ""to give up for good"", ""to learn more"", ""to prepare new tricks""]",tst,PersonX reaches PersonX's potential,fail,verb
PersonX fails PersonX's goal,"[""none""]",,"[""none""]","[""flawed"", ""lacking"", ""careless"", ""absentminded"", ""No hard work""]","[""person x want to work hard"", ""person x need to learn from his failure"", ""person x recover from his failure"", ""person x looks sad"", ""sighs in disbelief"", ""is unable to get weightloss surgery""]",,"[""none"", ""to work hard for his goal"", ""to achieve his goal""]",,"[""to try hard"", ""to win the game"", ""to be sad"", ""to be in frustration""]",tst,PersonX meets PersonX's goal,fail,verb
PersonX refuses to learn anything new,"[""none""]","[""none""]","[""none""]","[""stubborn"", ""intractable"", ""ignorant"", ""close-minded"", ""stupid""]","[""is ignorant"", ""is unable to get a better job (can't learn new rules, etc.)"", ""gets reprimanded by their boss"", ""gets fired from their job""]","[""To be stubborn"", ""To stay the same"", ""none"", ""to stick to their ways"", ""routine"", ""to stick to their ways"", ""routine""]","[""dot want to buy new product"", ""very un feeling in new product"", ""none"", ""fail at something"", ""get discouraged""]","[""The same"", ""Unlearned"", ""bored"", ""stupid"", ""relieved"", ""sad"", ""comforted"", ""relieved"", ""sad"", ""comforted""]","[""to believe all the product"", ""to be clam and buy it"", ""to go to school"", ""to find something they like"", ""to be more open minded"", ""try again at learning things""]",tst,PersonX becomes smarter,refuse,verb
PersonX never gets called.,"[""none""]",,"[""call from somewhere"", ""good for health"", ""none""]","[""unusual"", ""unskilled"", ""unlikable"", ""hostile""]","[""doesn't get a job"", ""gets  kicked out of friends house"", ""frowns"", ""sighs""]",,"[""plan to did not call"", ""don't call in others"", ""none""]",,"[""get some call from others"", ""good for health"", ""to live free"", ""to get rid of their phone""]",tst,PersonX gets the call,never,single_word
PersonX opposes PersonY stand,"[""gets debated by personX"", ""gets told they're wrong by personX"", ""argued with"", ""fought with""]",,"[""to argue with PersonX"", ""to debate PersonX"", ""none""]","[""Arrogant"", ""Annoyed"", ""opinionated"", ""argumentative""]","[""gets told they're wrong"", ""gets made fun of"", ""argued with"", ""fought with""]",,"[""to evaluate PersonY's stand"", ""to listen to PersonY's stand"", ""none""]",,"[""to argue with PersonY"", ""to debate PersonY"", ""to explain his side"", ""to convince persony""]",tst,PersonX takes PersonY stand,oppose,verb
PersonX prevents PersonX from being burned.,"[""none""]","[""none""]","[""burning is a bad habit"", ""he was a murderer"", ""none""]","[""careful"", ""cautious"", ""attentive""]","[""isn't injured"", ""feels safe"", ""none""]","[""to avoid getting hurt"", ""to look cool to themselves"", ""to avoid being injured"", ""to stay healthy and responsible"", ""to not get hurt or maimed"", ""to do things the correct way""]","[""plan to burn someone"", ""mind was full of vengence"", ""to get something"", ""to stop the burn"", ""be careless"", ""start a fire"", ""to use potholders to remove a tray from the oven"", ""to not get too close to the bonfire"", ""to extinguish their cigarette before falling asleep"", ""to know where their fire extinguisher is located"", ""to help person y"", ""to save person y's life""]","[""happy"", ""determined"", ""relief"", ""grateful"", ""Relieved at not being burned"", ""shaken up from nearly being burned"", ""proud of knowing how to take care of themselves""]","[""secure the crime in burn"", ""going to somewhere"", ""to apply water"", ""to feel less pain"", ""put out fire"", ""clean up mess"", ""to feel thankful that they avoided a painful burn"", ""to make sure the flames from their overturned grill are fully extinguished"", ""to replace their used fire extinguisher"", ""to admit person y in hospital"", ""to talk with person y""]",tst,PersonX burns badly,prevent,verb
PersonX avoids taking shots,"[""none""]",,"[""none"", ""to drink Person X's shots"", ""to be taken home by Person X since they are sober"", ""to pay for their own shots""]","[""sober"", ""a teetotaler"", ""anxious"", ""reserved""]","[""Teased by friends"", ""Called a wuss"", ""they get home safely"", ""they avoid being roofied""]",,"[""to promise"", ""to stop over drinking"", ""to go to the bar"", ""to be offered shots"", ""to refrain from ordering shots"", ""to remain home as their friends go out for drinks""]",,"[""to be strong"", ""to avoid shots"", ""to be the designated driver for the night"", ""to order a regular beverage"", ""to give their shots to someone else""]",tst,PersonX makes a shot,avoid,verb
PersonX never worked.,"[""none""]","[""none"", ""used"", ""irritation"", ""resentful"", ""frustrated"", ""angry"", ""overwhelmed""]","[""none""]","[""lazy"", ""unmotivated"", ""freeloading"", ""priviledged""]","[""they end up homeless"", ""they are cut off financially"", ""starves"", ""goes hungry""]","[""will not leave the house"", ""lays in bed all day"", ""none"", ""rest"", ""relaxation"", ""will not leave the house""]","[""none"", ""do want to look for a job"", ""person x is lazy""]","[""very poor"", ""low self esteem"", ""depressed"", ""useless"", ""entitled"", ""lazy""]","[""try working"", ""try moving forward"", ""to work"", ""to achieve something"", ""gets hungry"", ""not able to pay for the mortgages""]",tst,PersonX always worked,never,single_word
PersonX cooks without following a plan.,"[""none""]",,"[""none""]","[""daring"", ""spontaneous"", ""thrifty"", ""skilled""]","[""learns something new"", ""totally fails"", ""gets hungry"", ""Recipe turns out awful"", ""Cooking is criticized by children""]",,"[""figure out what to cook"", ""buy groceries"", ""prepare the cooking utensils""]",,"[""eat it"", ""taste their meal"", ""check to see if the food is done""]",tst,PersonX follows a recipe,without,single_word
PersonX prevents PersonY from leaving,"[""is forced to stay"", ""glares at personx"", ""PersonY trembles it fear"", ""screams"", ""fights""]",,"[""go home"", ""get away from personX"", ""none""]","[""controlling"", ""abusive"", ""aggessive"", ""fighting"", ""angry""]","[""gets glared at"", ""becomes disliked by persony"", ""gets arrested for kidnapping"", ""gets hit in fear"", ""gets screamed at""]",,"[""approach personY"", ""decide not to let personY leave"", ""none""]",,"[""distract personY"", ""spend more time with personY"", ""to push him back"", ""to hold them""]",tst,PersonX prevents PersonY from coming,prevent,verb
PersonX fails to acchieve PersonX's purpose,"[""none""]","[""none""]","[""none""]","[""unambitious"", ""unmotivated"", ""inept"", ""unskilled""]","[""cries"", ""thinks it could be worse"", ""loses money"", ""loss of prestige""]","[""sad"", ""no motivation"", ""none""]","[""none"", ""create a vision board"", ""set goals for themselves""]","[""sad"", ""upset"", ""defeated""]","[""he disappointment the person x purpose"", ""and get motivate by another person"", ""wallow in self-despair"", ""seek comfort in a pint of ice cream"", ""try again one time"", ""work hard""]",tst,PersonX achieves PersonX's purpose,fail,verb
PersonX has no one to call him dad.,"[""none""]",,"[""none""]","[""childless"", ""sterile"", ""single"", ""lacking a family""]","[""may lost his dad in past"", ""having single parent"", ""so live lonely"", ""self-made work in home""]",,"[""none""]",,"[""to try and have kids"", ""to find a long term partner"", ""to cry"", ""to find a father figure""]",tst,PersonX is mother,no,single_word
PersonX refuses to get anything for PersonY,"[""none""]",,"[""none""]","[""impolite"", ""rude"", ""greedy"", ""selfish""]","[""loses a friend"", ""gets served divorce papers"", ""Scolded by personY"", ""Dumped by personY""]",,"[""none""]",,"[""angry"", ""fight"", ""to be alone"", ""to be happy""]",tst,PersonX gets it for PersonY,refuse,verb
PersonX refuses to take responsibility for PersonY.,"[""gets hurt"", ""doesn't trust person x"", ""none""]","[""Annoyed"", ""Let down"", ""secluded"", ""miserable"", ""ignored"", ""letdown"", ""incapable"", ""scared""]","[""none"", ""bear his reponsibility"", ""being alone""]","[""Selfish"", ""Independent"", ""irresponsible"", ""unaccepting""]","[""is accused of being irresponsible"", ""is blamed when person y is hurt"", ""none""]","[""To avoid the issue"", ""To stay out of it"", ""to be responsible"", ""to set barriers"", ""to be left alone"", ""PersonY to take care of themselves"", ""PersonY to do their own task"", ""to take their of their own tasks""]","[""to deserve something"", ""to hurt some buddy"", ""to think about person y"", ""to talk with person y"", ""none""]","[""Guilty"", ""Determined"", ""self-sufficient"", ""Independent"", ""anxious"", ""fed up"", ""angry"", ""upset""]","[""to take respossiblity"", ""to be positive"", ""to prepare some food"", ""to finish the work"", ""keep distance with person's Y"", ""look for another way""]",tst,PersonX deals with PersonY,refuse,verb
PersonX refuses to make PersonX's arrangements,"[""none""]",,"[""none""]","[""mean"", ""rude"", ""stubborn"", ""uncaring""]","[""want new one"", ""one more chocolate"", ""person x never want to do arrangements"", ""person x doesn't know anything"", ""person x want to do alone"", ""person x hates to work in a group""]",,"[""none""]",,"[""go home"", ""get help from someone else"", ""to do something else"", ""to be angry""]",tst,PersonX makes PersonX's arrangements,refuse,verb
PersonX has no knowledge of an account,"[""is accused"", ""gets arrested"", ""none""]",,"[""none""]","[""in denial"", ""not sure what happened"", ""stupid"", ""lazy""]","[""thinks they've been hacked"", ""starts to worry"", ""none""]",,"[""none""]",,"[""to ask about it"", ""to find more information"", ""to ask friend if they knew of the account"", ""to figure out if the account is real""]",tst,PersonX provides PersonY account,no,single_word
PersonX stops at PersonY's lips.,"[""none""]",,"[""to be with person X"", ""to spend the night with person X"", ""none""]","[""hesitant"", ""reticent"", ""respectful"", ""shy""]","[""pants"", ""heart thumps"", ""Told to kiss personY"", ""Given a big kiss on the lips""]",,"[""find person Y"", ""start kissing person Y"", ""none""]",,"[""talk with person Y"", ""go home with person Y"", ""to go out with PersonY"", ""to go shopping""]",tst,PersonX passes PersonY's lips,stop,verb
PersonX refuses to visit his grandmother,"[""none""]",,"[""none"", ""to know why PersonX won't visit them"", ""to know what they can do to fix it""]","[""uncaring"", ""uncompassionate"", ""mean""]","[""gets outcasted by family"", ""gets calls from grandma all day"", ""Scolded by grandmother"", ""Told to come visit""]",,"[""to have geandmother"", ""to visit grandmother"", ""to have something else to do"", ""to not care about his grandmother's feelings""]",,"[""to finish homewrok"", ""to play"", ""to stop being a jerk"", ""to stop hurting his grandmother"", ""his mother to stop yelling at him""]",tst,PersonX is at PersonX's grandmother's house,refuse,verb
PersonX avoids touching PersonY,"[""none"", ""is shunned by others"", ""is quarantined""]",,"[""to rub on personx"", ""to molest personx"", ""none""]","[""reserved"", ""nervous"", ""germaphobe"", ""unfriendly""]","[""is careful"", ""doesn't touch"", ""stays healthy"", ""is seen as awkward""]",,"[""none""]",,"[""to keep themselves clean"", ""to avoid the smell"", ""to be mean"", ""to express negative feelings""]",tst,PersonX gets on PersonX's feet,avoid,verb
PersonX goes out with no head covering,"[""none""]","[""none""]","[""none""]","[""bold"", ""reckless"", ""confident"", ""hot"", ""thoughtful""]","[""gets sunburned"", ""gets a heat attack"", ""Told to put a mask on"", ""Called irresponsible""]","[""to feel free"", ""to disobey a religion"", ""to get air on their head"", ""to feel the sun on their head"", ""to air out their hair"", ""to rush out the door quickly"", ""to get to their location quickly""]","[""head covering is the important"", ""get some fresh air"", ""none"", ""to go out"", ""to wear the helmet""]","[""free"", ""guilty"", ""happy"", ""excited"", ""cold"", ""silly"", ""embarrassed""]","[""want to become a hero"", ""plan to do a trip"", ""act rain"", ""climate change"", ""to be free"", ""to ride the bike""]",tst,PersonX covers PersonX's head,no,single_word
PersonX avoids contacting PersonY,"[""gets forgotten"", ""is abandoned"", ""annoyed"", ""frustrated""]","[""unwanted and unwelcome"", ""isolated"", ""perplexed by the lack of communication"", ""relieved not to have to speak to person X"", ""like they were forgotten"", ""upset"", ""mad"", ""like they want to talk to personX"", ""like they have matters to settle""]","[""to get an explanation for the reason they are being avoided"", ""stop thinking about PersonX"", ""Find a distraction from PersonX to fill the void"", ""look into self help/improvement books or maybe a therpist to address their issues (if it is discovered that they are being avoided for legitimate reason)"", ""none"", ""snap at person"", ""go back to sleep""]","[""avoiding"", ""uncaring"", ""avoidant"", ""unfriendly""]","[""is contacted by PersonY"", ""is ignored"", ""none""]","[""time to decide what to say"", ""to end the relationship with person Y"", ""to hurt person Y's feelings"", ""to deny the situation with person Y"", ""to not be near personY"", ""to not have to talk to them"", ""to not feel embarrassed""]","[""have an awkward and/or unpleasant interaction with PersonY"", ""Determine they dislike PersonY"", ""Do something unkind and/or dishonest to PersonY (another reason people have for avoiding someone- sometimes it really IS you and not them!)"", ""to take rest"", ""to take a mobile"", ""get a lawn mower"", ""turn the lawn mower on""]","[""ashamed"", ""sad"", ""like he is copping out"", ""like a bad friend"", ""like they blew off personY"", ""upset"", ""nervous"", ""like they have to avoid them""]","[""Avoid going places that PersonY frequents"", ""Change phone number (or just block PersonY's number, depending on the reason for avoidance)"", ""to accept person y"", ""to contact with her"", ""drink a glass of water"", ""take a shower""]",tst,PersonX blows up PersonY's phone,avoid,verb
