event,split,xAttr,xEffect,oEffect,xReact,oReact,xWant,oWant,xIntent,xNeed,original
PersonX looks outside,tst,"[""curious"", ""engaged"", ""longing"", ""restless""]","[""hears dog bark"", ""hears neighbor arrive home"", ""sees the beautiful scene"", ""discovers a crime happening""]","[""none""]",,,"[""see if anyone is outside"", ""check the weather""]","[""none""]",,"[""go to the window"", ""get a good view"", ""none""]",PersonX peers inside
PersonX moves out on PersonX's friends,tst,"[""disloyal"", ""disappointing"", ""frustrated"", ""broke""]","[""stays calm"", ""becomes proud of themselves"", ""get yelled at"", ""receives an email from the landlord""]","[""none""]",,,"[""to live on their own"", ""to gain independance""]","[""none""]",,"[""none"", ""find a place"", ""plan the move""]",PersonX moves out on PersonX's own
PersonX drives PersonY to PersonZ's bike.,tst,"[""considerate"", ""friendly"", ""supportive"", ""generous"", ""cooperative""]","[""to travel"", ""be safe"", ""think about driving a bike"", ""jumps in excitement""]","[""none""]",,,"[""take PersonY back home"", ""pick up the bike"", ""to steal the bike"", ""to sell the bike for bike parts""]","[""thank PersonX"", ""pick up the bike"", ""to chase after personx"", ""to kill personx""]",,"[""learn to drive"", ""pick up PersonY"", ""none""]",PersonX walks PersonY to PersonZ's car
PersonX puts food in the oven,tst,"[""hungry"", ""famished"", ""PLACED"", ""ADAPT""]","[""X gets a phone call"", ""X forgets about the food"", ""X's food burns"", ""none""]","[""none""]",,,"[""to remove the food from the oven"", ""to serve dinner"", ""take out the food"", ""eat the food""]","[""none""]",,"[""to prepare the food"", ""to turn the oven on"", ""prepare the food to be eaten"", ""prepare the oven to warm the food""]",PersonX puts PersonY in the oven
PersonX cheers up PersonY,tst,"[""glad"", ""nice"", ""compassionate"", ""friendly""]","[""gets thanked"", ""is hugged"", ""smiles"", ""gets hugged""]","[""thanks PersonX"", ""thinks about positive things"", ""sniffs"", ""smiles""]",,,"[""guide"", ""motived"", ""to see PersonY smile"", ""to make PersonY happy""]","[""none"", ""to thank PersonX"", ""to smile at PersonX""]",,"[""none"", ""to find PersonY"", ""to speak to PersonY""]",PersonX puts PersonY down
PersonX gives PersonY support,tst,"[""supportive"", ""a good friend"", ""caring"", ""guiding""]","[""gets thanked"", ""earns PersonY's respect"", ""weakness"", ""drained""]","[""none""]",,,"[""to put their hand on PersonY"", ""to talk to PersonY"", ""see her win"", ""best of her""]","[""to thank PersonX"", ""to cry"", ""none""]",,"[""to go to PersonY"", ""to learn PersonY is in trouble"", ""none""]",PersonX tans PersonY's hide
PersonX begs PersonY's children,tst,"[""desperate"", ""needy"", ""wanting to be liked""]","[""acts kindly"", ""is more helpful to others"", ""arrested"", ""slapped""]","[""none"", ""frowns"", ""argued with""]","[""Frustrated"", ""Desparate"", ""needy"", ""guilty"", ""humiliated"", ""anger"", ""relief""]","[""Uncomfortable"", ""In control"", ""annoyed"", ""disturbed"", ""glee"", ""excitement""]","[""to grow a child"", ""to be good parent"", ""went home"", ""felt tired"", ""to ask the children not to play ball near the front windows"", ""to suggest they play in the backyard""]","[""none"", ""to take the ball out back"", ""to kick the ball back and forth across the yard""]","[""Something from the children"", ""The kids to do something"", ""money"", ""a place to live"", ""the children to stop"", ""the children to help"", ""the children to sleep""]","[""none"", ""to walk to the window"", ""to open the window""]",PersonX begs PersonY's parents
PersonX uses the microwave,tst,"[""cooking"", ""fun"", ""hungry"", ""capable""]","[""becomes relaxed"", ""acts kindly"", ""enjoys food"", ""has hot items""]","[""none""]",,,"[""to heat food"", ""give to child"", ""to eat their food"", ""to reheat the food""]","[""none""]",,"[""none"", ""to turn on the kitchen light"", ""to walk to the counter""]",PersonX preheats the oven
PersonX sells dog food.,tst,"[""motivated"", ""exuberant"", ""dutiful"", ""determined""]","[""they earn a thousand dollars"", ""they can afford a home"", ""earns more money"", ""stable financially""]","[""none""]","[""satisfied"", ""proud"", ""happy"", ""glad to be of service"", ""hopeful"", ""successful"", ""satisfied""]","[""happy"", ""satisfied"", ""glad to have the dogfood"", ""happy to feed their dog"", ""none"", ""satisfied""]","[""to go home"", ""to spend money"", ""to get the person have dog"", ""sell for low prices"", ""to sell more dog food"", ""to put the cash in their bank account"", ""gets the money for laundry"", ""eats all the money""]","[""to go home"", ""to feed the dog"", ""none"", ""to feed their dog"", ""to take the dog food home""]","[""to make money"", ""to get rid of their dog food"", ""be successful"", ""to pay bill"", ""to make Christmas money"", ""to quit his day job"", ""to make money"", ""to get rid of their dog food""]","[""to get a job"", ""to go to work"", ""none"", ""to obtain dog food"", ""to market the dog food""]",PersonX buys dog food
PersonX plays PersonX's favorite poem,tst,"[""artistic"", ""poetic"", ""considerate"", ""thoughtful""]","[""reminisces about old times"", ""is reminded of the beauty of the poem"", ""smiles"", ""relaxes""]","[""none""]",,,"[""receive feedback"", ""play it again"", ""to enjoy the event"", ""to be good""]","[""hear the poem again"", ""give feedback"", ""none""]",,"[""have a favorite poem"", ""decide to perform the poem"", ""none""]",PersonX plays PersonX's favorite song
PersonX is calm.,tst,"[""tranquil"", ""peaceful"", ""carefree"", ""comfortable""]","[""muscles unclench"", ""headach disappears"", ""none""]","[""none""]",,,"[""safe and relax"", ""very conferrable"", ""to be good"", ""to meditate""]","[""none""]",,"[""none""]",PersonX spits nails
PersonX aces PersonX's classes,tst,"[""smart"", ""studious"", ""intelligent"", ""a genius""]","[""They make the honor roll"", ""They get a certificate"", ""smiles"", ""gets rewarded""]","[""none""]",,,"[""celebrate"", ""teach others how to succeed in the class"", ""to celebrate"", ""to feel happy"", ""show their report card"", ""to get good grades"", ""to get a diploma""]","[""none""]",,"[""to study"", ""to do their homework"", ""to get good results"", ""study"", ""practice"", ""none""]",PersonX fails PersonX's classes
PersonX stands on PersonX's feet.,tst,"[""weird"", ""strange"", ""determined"", ""dutiful""]","[""none"", ""legs get tired"", ""feet get tired""]","[""feels uncomfortable"", ""uneasy"", ""none""]",,,"[""he honest"", ""strong"", ""to learn to gain their balance"", ""to tell the other toddlers that they are superior""]","[""none""]",,"[""none""]",PersonX stands on PersonX's head
PersonX watches the clock,tst,"[""focused"", ""aware"", ""restless"", ""tensed""]","[""gets mesmerized by the clock's motions"", ""can't stop looking at the clock"", ""smiles"", ""wakes up""]","[""none""]",,,"[""to go home"", ""to clock out of work""]","[""none""]",,"[""none""]",PersonX loses track of time
PersonX calls PersonY an Uber,tst,"[""helpful"", ""kind"", ""accommodating""]","[""he is not paid"", ""he is thanked"", ""is thanked"", ""phone is engaged""]","[""he gets home safe"", ""he is forced to pay"", ""notices uber arriving"", ""gets a ride""]","[""that they have been kind"", ""relieved"", ""responsible"", ""righteous"", ""helpful"", ""happy"", ""that they have been kind"", ""relieved""]","[""grateful"", ""privileged"", ""safe"", ""happy"", ""grateful"", ""privileged""]","[""to go home"", ""to sleep"", ""need to pay for raid"", ""say goodbye to person y"", ""pays the fare"", ""gives direction""]","[""none""]","[""them to have a ride"", ""to be helpful"", ""PersonY to get home"", ""to be responsible"", ""persony to feel self"", ""do something nice for persony"", ""them to have a ride"", ""to be helpful""]","[""to go out"", ""to contact uber"", ""none""]",PersonX calls PersonY ambulance
PersonX breaks PersonY alliance,tst,"[""rude"", ""unfriendly"", ""strategic"", ""mean""]","[""looses a friend in person y"", ""gets person y disappointed at them"", ""commit a mistake"", ""yelled""]","[""none"", ""cry"", ""shouted""]",,,"[""to avoid personY"", ""to negotiate a new alliance"", ""to find new allies"", ""to make a good deal for themselves""]","[""to meet with personX"", ""to persuade personX"", ""to report their former ally"", ""to plan revenge""]",,"[""to be in an alliance with personY"", ""to know personY"", ""none""]",PersonX makes PersonY alliance
PersonX greets PersonY in the morning at home.,tst,"[""caring"", ""friendly"", ""nice""]","[""Greeted in return"", ""Offered breakfast"", ""smiles"", ""becomes less socialy deprived""]","[""none""]",,,"[""go back to his house"", ""prepare for work"", ""to know how they are doing"", ""to check up on them""]","[""responded to his greeting"", ""leave for work"", ""none""]",,"[""stay close to the person"", ""wake up in early in the morning"", ""none""]",PersonX is found dead morning at PersonY's home in
PersonX misses someone,tst,"[""sad"", ""depressed"", ""lovesick"", ""yearning""]","[""talk with someone"", ""give a kiss in forehead"", ""stays calm"", ""becomes a bit sad""]","[""none""]",,,"[""reach out"", ""spend time with them"", ""a nap"", ""to express little effort""]","[""none""]",,"[""none""]",PersonX meets someone
PersonX is paralyzed with indecision,tst,"[""indecisive"", ""hesistant"", ""doubtful""]","[""frowns"", ""sighs"", ""Mind goes blank"", ""Sweats""]","[""none""]","[""nervous, antsy"", ""Anxious, overwhelmed"", ""guilty"", ""worried"", ""indecisive"", ""stressed about choosing"", ""panicked"", ""Anxious, overwhelmed""]","[""none""]","[""tries to weigh out best option"", ""wait if can't make a decision"", ""1st he take rest"", ""then he get new ideas"", ""cries most of the times"", ""goes to the hospital""]","[""none""]","[""none""]","[""has something happen"", ""is faced with a terrible decision"", ""he is more confused"", ""he have no idea"", ""none""]",PersonX chooses among alternatives
PersonX gets so satisfied,tst,"[""grateful"", ""amazed"", ""satiated"", ""full""]","[""smiles"", ""laughs"", ""grins"", ""jumps in joy""]","[""none""]",,,"[""to stay calm"", ""to stay happy"", ""keep being satisfied"", ""share the pleasing thing""]","[""none""]",,"[""none"", ""find something satisfying"", ""indulge in something satisfying""]",PersonX gets so frustrated
PersonX keeps turning,tst,"[""moving"", ""active"", ""confused"", ""disoriented""]","[""gets dizzy"", ""becomes off balance"", ""they hit a telephone pole"", ""they veer off the road""]","[""none""]",,,"[""to adjust the parts"", ""to start the car"", ""visit a doctor"", ""keep his mind relaxed""]","[""none""]",,"[""to repair the car"", ""to get the tools"", ""none""]",PersonX keeps straight
PersonX is very calm and peaceful,tst,"[""relaxed"", ""serene"", ""focused""]","[""handles stressful situations well"", ""lives a content life"", ""none""]","[""none""]",,,"[""meditate"", ""write about their life"", ""to do some yoga while they have the feeling"", ""to take another puff of the joint""]","[""none""]",,"[""none""]",PersonX has anger problems
PersonX ignores the recipe and wings it,tst,"[""creative"", ""free-spirited"", ""sloppy"", ""imaginative""]","[""none"", ""learns something new"", ""cooking fails""]","[""none""]",,,"[""to eat"", ""to clean up the kitchen"", ""to find new one"", ""taste it""]","[""none""]",,"[""to have some experience cooking"", ""to understand how foods combine and cookd"", ""none""]",PersonX follows the recipe
PersonX leaves PersonY's mother,tst,"[""uninterested"", ""unloving"", ""ready for change"", ""done with the relationship"", ""independent"", ""afraid"", ""ready to go"", ""looking for an out""]","[""they are single"", ""they are seen as a loser"", ""Scolded by personY"", ""Threatened with physical violence"", ""X forgets to pack all of his things"", ""Y's mother throws X's things out the house window"", ""X cannot find a place to stay"", ""get stress"", ""think about person y's mother""]","[""they are a single parent"", ""they get pity from others"", ""none"", ""Y cries all night"", ""Y has nightmares"", ""Y's mother holds Y in her arms and sings to him""]",,,"[""visit"", ""go home"", ""to be happy"", ""to feel safe about person y's mother"", ""to help person y's mother"", ""to change their life"", ""to find a new place to live"", ""to pick up her mother"", ""to drop her safe""]","[""thank personX for the visit"", ""say goodbye"", ""to feel thankful"", ""to do compliment"", ""PersonX to try and work things out"", ""PersonX to stay"", ""none""]",,"[""be with personY's mother"", ""decide to leave"", ""to be a taxi driver"", ""to take care of person y's mother"", ""to be in a relationship with PersonY's mother"", ""to be unhappy"", ""none""]",PersonX gets PersonY's mother
PersonX slacks off and gives up,tst,"[""weary"", ""tired"", ""lazy"", ""apathetic""]","[""the fight with their friend"", ""ask sorry for that fight"", ""get injured"", ""become sick""]","[""none""]",,,"[""to go home"", ""to try again tomorrow"", ""to be alone"", ""to be happy""]","[""none""]",,"[""none""]",PersonX puts PersonX's mind to it
PersonX steps away from PersonY,tst,"[""safe"", ""disconnected"", ""rude"", ""unfriendly""]","[""avoids getting sick"", ""becomes unable to hear person y conversation"", ""gets asked what is wrong"", ""is brought back in by PersonY""]","[""none"", ""gets offended"", ""becomes self conscious""]",,,"[""independence"", ""distance away from Y"", ""to avoid y"", ""to get away""]","[""to know what they did wrong"", ""to get an explanation from x"", ""get near y"", ""talk to y""]",,"[""none"", ""to be near y"", ""to be offended by y""]",PersonX gets close to PersonY
PersonX does PersonX's worst,tst,"[""unengaged"", ""lazy"", ""unmotivated""]","[""feel anger towards X"", ""starts feeling sad"", ""none""]","[""none""]","[""Happy"", ""Ecstatic"", ""ashamed"", ""like a failure"", ""tired"", ""sad"", ""relieved""]","[""Terrible"", ""Horrified"", ""none""]","[""they get to a fight"", ""get to disagree"", ""to change the plan"", ""to give the best"", ""be positive"", ""be clam very situation""]","[""none""]","[""to hurt PersonY"", ""to watch PersonY be hurt"", ""to fail"", ""to disappoint other people"", ""to be left alone"", ""to get out of work""]","[""gets angry"", ""gets fed up"", ""to do a work"", ""to take a decision"", ""none""]",PersonX does PersonX's best
PersonX tells my father.,tst,"[""great"", ""smart"", ""mad"", ""angry""]","[""becomes nervous"", ""starts to sweat"", ""becomes proud"", ""is thanked""]","[""becomes concerned"", ""becomes angry"", ""father is happy"", ""father is informed""]",,,"[""to talk to my father"", ""to get a response from my father"", ""to get me in trouble"", ""to make friends with my father""]","[""to respond to PersonX"", ""to receive information from PersonX"", ""none""]",,"[""to pick up the phone"", ""to dial my father's number"", ""none""]",PersonX tells my mother
PersonX siphons PersonY's gas,tst,"[""sneaky"", ""bad"", ""a thief"", ""too poor to get gas""]","[""clear the leaking of gas"", ""goes dinner with y"", ""look the siphon"", ""take the siphon""]","[""none""]",,,"[""to apologize"", ""to pay PersonX back"", ""to use the gas"", ""run from the scene""]","[""to confront PersonX"", ""to argue with PersonX"", ""to know the thief"", ""get their gas""]",,"[""to open the gas gas cap"", ""to approach the car"", ""to locate the gas"", ""to get a can""]",PersonX pumps PersonY's gas
PersonX clams up.,tst,"[""reticent"", ""silent"", ""shy"", ""introverted"", ""bashful""]","[""sweaty"", ""unnerved"", ""they go home"", ""they write their report""]","[""none""]","[""embarrassed"", ""stressed"", ""guilty"", ""weird"", ""nervous"", ""awkward""]","[""none""]","[""keep the secret no matter what"", ""run away"", ""walk off stage"", ""try to be confident and talk"", ""takes what's is there's"", ""feels great""]","[""PersonX run away"", ""PersonY chase PersonX"", ""none""]","[""none""]","[""keep a secret about him/her"", ""PersonY's interrogate PersonX"", ""goes to an event"", ""is infront of a large crowd"", ""none""]",PersonX describes PersonX's experience
PersonX leaves PersonX's people to die,tst,"[""selfish"", ""inconsiderate"", ""villanous"", ""uncaring"", ""betraying""]","[""thinks about the suffering"", ""trembles in horror"", ""gets yelled at"", ""gets condemned""]","[""stop living"", ""none""]",,,"[""very bad ,sad"", ""very stress"", ""to die"", ""to suffer in the desert""]","[""none"", ""to condemn PersonX"", ""to elect a new leader""]",,"[""none"", ""to go insane"", ""to be a terrible person""]",PersonX saves PersonX's people
PersonX missed what happened.,tst,"[""inattentive"", ""apathetic"", ""distracted"", ""unthoughtful"", ""forgetful""]","[""ask other"", ""search"", ""gain knowledge about the incident"", ""smiles""]","[""none""]",,,"[""ask for an update"", ""pretend they know what's going on"", ""to turn on the news"", ""to gossip""]","[""none""]",,"[""none""]",PersonX sees what happened
PersonX always lost,tst,"[""confused"", ""dazed"", ""mixed up""]","[""gets outcasted by team members"", ""gets kicked off football team"", ""cry"", ""scream""]","[""none""]",,,"[""to find a landmark"", ""to find a map"", ""practice"", ""try something new""]","[""none""]",,"[""none"", ""played"", ""failed to succeed""]",PersonX never lost
PersonX finishes school,tst,"[""comitted"", ""persevering"", ""smart"", ""intelligent""]","[""gets a degree"", ""is eligible for jobs"", ""they get a job offer"", ""they pay off their student loans""]","[""none""]","[""proud"", ""relieved"", ""worried"", ""joy"", ""satisfied"", ""accomplished""]","[""proud"", ""joyful"", ""none""]","[""to secure a job"", ""to celebrate"", ""to return to home"", ""to finish the home work"", ""coming after finish get some foods"", ""get some snacks""]","[""none""]","[""to get a job with benefits"", ""to go to university or other continuing education"", ""none"", ""to get a good job"", ""to finish what he started""]","[""to study"", ""to prioritize their studies"", ""to go to school"", ""to attend the class"", ""study well going school well"", ""Attend school all the time""]",PersonX begins school
PersonX aces all of PersonX's classes.,tst,"[""studying hard"", ""ready for the real world"", ""smart"", ""studious""]","[""has a high GPA"", ""impresses their peers"", ""gets congratulatd"", ""gets valedictorian""]","[""none""]",,,"[""Check their grades"", ""Celebrate their good grades"", ""to study hard"", ""to behave more fun"", ""to toot their own horn"", ""to brag to others""]","[""none""]",,"[""To study for their classes"", ""To complete all assignments"", ""none""]",PersonX fails all of PersonX's classes
PersonX lets PersonY walk around in raggedy clothes,tst,"[""selfish"", ""uncaring"", ""unkempt""]","[""clean the clothes"", ""to avoid damages"", ""wants to help"", ""becomes proud of themselves""]","[""none""]",,,"[""to rest"", ""to work"", ""them to feel shame"", ""them to make their own money""]","[""none"", ""new clothes"", ""to feel good""]",,"[""plan to meet person"", ""plan to meet personto work"", ""to rest"", ""none""]",PersonX puts PersonY together
PersonX freezes an apple pie,tst,"[""well-prepared"", ""non wasteful"", ""thrifty"", ""capable""]","[""gets frozen pie"", ""has pie for later"", ""has food for later"", ""breathes in cold air""]","[""none""]","[""prepared"", ""smart"", ""like PersonX has more restraint"", ""content"", ""happy"", ""chilled"", ""satisfied""]","[""none""]","[""to eat the pie"", ""to hold the pie"", ""to take out to cool"", ""to eat the apple"", ""to store the pie in the freezer"", ""to thaw the pie when needed"", ""to serve the pie""]","[""none""]","[""to save it for a holiday or special occasion"", ""to prevent it from going bad"", ""to help prevent PersonX from eating the whole pie"", ""cold pie"", ""to save the pie"", ""it cold"", ""to keep it fresh""]","[""to take the pie"", ""to keep the pie"", ""none"", ""to make an apple pie"", ""to wrap the apple pie"", ""to place the apple pie in the freezer""]",PersonX bakes an apple pie
Personx brings home the milk,tst,"[""well-off"", ""successful"", ""motivated"", ""mature""]","[""gains respect"", ""blushes"", ""none""]","[""none""]",,,"[""to drink milk"", ""to drink"", ""to be healthy""]","[""none""]",,"[""to stop at a store"", ""to buy milk"", ""none""]",PersonX forgets the milk
PersonX makes a call,tst,"[""talkative"", ""decisive"", ""informative""]","[""becomes considerate"", ""finds themselves useful"", ""is answered by a friend"", ""drops his phone""]","[""none""]",,,"[""to speak out"", ""to inform"", ""put phone in charger"", ""listen to voicemails""]","[""none""]",,"[""none"", ""grabs their cell phone"", ""charges cell phone""]",PersonX gets a call
PersonX keeps an eye on PersonY,tst,"[""watchful"", ""observant"", ""untrusting"", ""vigilant""]","[""none"", ""want to monitor person y"", ""having doubt on him""]","[""none""]",,,"[""to take PersonY home"", ""to keep PersonY safe"", ""to cause friendship"", ""to supervise""]","[""personx to  leave them alone"", ""to get away from personx"", ""none""]",,"[""none""]",PersonX loses sight of PersonY
PersonX falls left.,tst,"[""clumsy"", ""uncoordinated"", ""unsteady on their feet"", ""somewhat intoxicated""]","[""Scrapes up knee"", ""Sent to hospital"", ""gets injured"", ""skins their knee""]","[""none""]",,,"[""cry"", ""rub his left knee"", ""not talk to anyone"", ""stand up"", ""to take rest"", ""to be polite""]","[""none""]",,"[""have bad shoes on"", ""to be walking"", ""to slip on water"", ""none""]",PersonX falls right
PersonX loses a profit,tst,"[""losing busniess"", ""nervous about their money"", ""disgusted"", ""angry""]","[""frowns"", ""cries"", ""gets criticized by their wife"", ""gets told they're a lousy businessman""]","[""none""]",,,"[""to close their business"", ""to file bankruptcy"", ""to invest more money"", ""to study their finances""]","[""none""]",,"[""none""]",PersonX turns a profit
PersonX dreads being in charge,tst,"[""Introverted"", ""Unmotivated"", ""timid"", ""self-effacing""]","[""is given another duty"", ""is forced to be in charge"", ""A friend offers to help X"", ""X does better than anyone expected"", ""X is asked to do the job of being in charge again next time""]","[""does not learn anything"", ""is confused as to what to do"", ""none""]",,,"[""be a follower"", ""avoid responsibility"", ""to take decision"", ""to be fit""]","[""none""]",,"[""none""]",PersonX hopes would lead
PersonX works very hard,tst,"[""determined"", ""succeeding"", ""needing money"", ""in love with their job""]","[""smiles with pride at being able to afford a car"", ""is praised at work for performance"", ""gains a new job title as ceo"", ""X gets sweaty"", ""A friend offers X some lemonade"", ""X collapses""]","[""none""]",,,"[""to put in as many hours as they can"", ""to save up for important purchase"", ""call it a day"", ""stop working"", ""relax""]","[""none""]",,"[""none""]",PersonX rests on PersonX's laurels
PersonX has an old car.,tst,"[""antique-loving"", ""nostalgic"", ""dedicated"", ""skiled""]","[""to sell old car"", ""earn money"", ""breaks down on the way to work"", ""gets a flat tire""]","[""none""]",,,"[""to buy a new car"", ""to trade it with others"", ""sell the car"", ""buy a new car""]","[""none""]",,"[""none"", ""buy a car"", ""not have a lot of money""]",PersonX has a new car
PersonX keeps their distance from PersonY,tst,"[""rude"", ""cowardly"", ""afraid"", ""scared""]","[""stay away"", ""move the body"", ""X doesn't get to know Y"", ""people wonder why X is antisocial"", ""people makes assumptions about X""]","[""none"", ""Y learns X does not like being around him"", ""Y cannot understand X"", ""Y forgets about X""]",,,"[""to be rude"", ""to show disdain"", ""avoid personY"", ""explain""]","[""none"", ""be acknowledged"", ""avoid personX""]",,"[""none"", ""be aware of personY"", ""be compelled to stay away""]",PersonX makes PersonY connection
PersonX is clean as a whistle,tst,"[""washed"", ""spotless"", ""clean"", ""neat""]","[""gets compliments on his hygeine"", ""gets a date"", ""makes friends"", ""misses"", ""save""]","[""none""]",,,"[""to be presentable for an interview"", ""to smell nice""]","[""none""]",,"[""take a shower"", ""put on clean clothes"", ""none""]",PersonX needs a bath
PersonX rides it often.,tst,"[""brave"", ""comfortable"", ""obsessed"", ""entertained""]","[""none""]","[""none""]",,,"[""to get to the destination"", ""to avoid walking"", ""to be happy"", ""to be good""]","[""none""]",,"[""go to the vehicle"", ""to get on"", ""none""]",PersonX has never been on one before
PersonX pulls PersonY forward,tst,"[""clingy to PersonY"", ""inseparable from PersonY"", ""caring"", ""nice""]","[""Person X falls back"", ""Person X strains their arms"", ""Pushed off by personY"", ""Told to stay away from them""]","[""Person Y falls on top of person X, on the ground"", ""Person Y resists person  X"", ""Person Y defends themselves"", ""Person Y swings at person X"", ""none""]","[""guilty"", ""relieved"", ""proud"", ""helpful"", ""happy"", ""lonely"", ""guilty"", ""relieved""]","[""shocked"", ""terrified"", ""happy"", ""grateful"", ""embraced"", ""shocked"", ""terrified""]","[""to play video games"", ""to clean the bike"", ""to dance with person Y"", ""to order at the counter"", ""get some food"", ""want to change mind""]","[""none"", ""to dance with person X"", ""to also order at the counter"", ""plan to change the place"", ""get some foods""]","[""to go second"", ""not to be chosen"", ""to be closer to persony"", ""to save them from falling"", ""to give PersonY a big hug"", ""to go second"", ""not to be chosen"", ""to give PersonY a big hug""]","[""to find person y"", ""to get near to person y"", ""to face person Y"", ""grab person Y"", ""plan to distract some one"", ""plan to change his mind""]",PersonX arches PersonY back
PersonX puts out to church,tst,"[""unreligious"", ""secular"", ""outgoing"", ""daring""]","[""feel stressed"", ""yelled"", ""may be religious"", ""want be calm""]","[""none""]",,,"[""to feel good"", ""to be sane"", ""to not go to church after today"", ""to ask if family is at church""]","[""none""]",,"[""none""]",PersonX puts out to pasture
PersonX left the course.,tst,"[""Hurried"", ""Demoralized"", ""adventurous"", ""curious""]","[""plays video games"", ""fails the course"", ""they get a bad grade"", ""they aren't permitted back""]","[""none""]",,,"[""PersonX feels Sad"", ""PersonX got pain"", ""Stay away"", ""Drop it""]","[""none""]",,"[""none""]",PersonX takes place in the course
PersonX says no.,tst,"[""denier"", ""firm"", ""Determined"", ""Stern""]","[""makes friend mad"", ""looses a friend"", ""People try to change X's mind"", ""X wavers in his opinion"", ""X regrets his decision""]","[""misses out on getting to work on time"", ""is repremanded"", ""none""]",,,"[""to be pleased with their decision"", ""be happy they declined"", ""to go be by himself"", ""to go home""]","[""none"", ""to ask another friend the question"", ""to find another person to hang out with""]",,"[""not be in agreement"", ""not want to go out"", ""to be talking to someone else"", ""to be asked a question""]",PersonX says sure
PersonX gets cleaned up.,tst,"[""well-kempt"", ""self-directed"", ""hygienic"", ""sanitary""]","[""is praised"", ""stops itching"", ""puts on makeup"", ""finds accessories""]","[""none""]",,,"[""obtain a towel"", ""dry off with towel"", ""moisturize skin"", ""go to a party"", ""go to work""]","[""none""]",,"[""to undress"", ""to turn on the shower"", ""to adjust water temperature"", ""prepares bath"", ""cleans clothes""]",PersonX gets messy
PersonY passes around PersonX.,tst,"[""aloof"", ""withdrawn"", ""quick"", ""hurried""]","[""are behind"", ""last person"", ""arm becomes sore"", ""legs tire""]","[""none"", ""gets pushback"", ""gets an earful""]",,,"[""get some distraction"", ""bad at the moment"", ""to call person y"", ""to talk to person y""]","[""such a bad thing happen"", ""it was really hurt"", ""none""]",,"[""plan for the drive"", ""going to some place"", ""to be in a crowded palce"", ""to buy things""]",PersonX passes around PersonY
PersonX always stays in,tst,"[""inactive"", ""unsociable"", ""reclusive"", ""antisocial""]","[""becomes lonley"", ""gains weight from not exercizing"", ""mind slows"", ""muscles wither""]","[""none""]","[""tired"", ""relaxed"", ""calm"", ""safe"", ""depressed"", ""sad""]","[""none"", ""sorry for them"", ""awkward around them""]","[""to remain inside"", ""to be left alone"", ""girlfriends home"", ""friends home"", ""to find some food"", ""to find fun indoor activities""]","[""none""]","[""to be alone"", ""to rest"", ""to avoid people"", ""to avoid going outside"", ""to avoid social interaction"", ""to be an introvert""]","[""none""]",PersonX always goes
PersonX is an atheist.,tst,"[""open minded"", ""realistic"", ""analytical"", ""logical""]","[""none"", ""have clear mind"", ""believe himself""]","[""none""]",,,"[""to understand why people believe in religion"", ""to feel comfort from religion like others"", ""to make up their own mind"", ""to follow their own beliefs""]","[""none""]",,"[""none""]",PersonX walks humbly with PersonY's god
PersonX puts it back on the store shelf,tst,"[""picky"", ""rational"", ""organized"", ""kept""]","[""none""]","[""none""]","[""accomplished"", ""happy"", ""frugal"", ""responsible"", ""Satisfied"", ""normal""]","[""none"", ""average"", ""content""]","[""rest"", ""go for a walk"", ""to look for another product"", ""to push their trolley"", ""to get down from store shelf"", ""to arrange some things""]","[""none""]","[""to keep things ordered"", ""to get rid of the book"", ""to not buy the item"", ""to save money"", ""to place it back to where it belonged"", ""does not want to mess up the organization"", ""to place it back to where it belonged"", ""does not want to mess up the organization""]","[""pick it off the shelf"", ""clean the shelf"", ""to pick it up from the shelf"", ""to look at it"", ""none""]",PersonX decides to purchase it
PersonX finishes to eat it,tst,"[""dedicated"", ""hungry"", ""full"", ""satisfied""]","[""none"", ""behaves friendly to others"", ""decides to smile""]","[""none""]","[""full"", ""satisfied"", ""happy"", ""Full"", ""Content"", ""Bloated""]","[""none""]","[""to get hand wash"", ""to pay the bill"", ""to go back home"", ""to clean the dishes"", ""to find more food""]","[""none""]","[""to feel full"", ""to feel satiated"", ""eat dessert"", ""eat dinner"", ""to have another serving"", ""to eat something else"", ""to not be hungry"", ""to make sure the food doesn't go to waste""]","[""to hand wash"", ""to the order the dish"", ""to get into the restaurant"", ""to order food"", ""to find food"", ""to serve food""]",PersonX begins to eat it
PersonX lets the yard go to pot,tst,"[""lazy"", ""unmotivated"", ""going through some stuff""]","[""gets fined by the homeowner's association"", ""is reported to someone"", ""decides to learn for next time"", ""gets angry""]","[""none""]","[""indifferent"", ""uncaring"", ""disgusted"", ""negligent"", ""regret"", ""shame""]","[""disgusted"", ""irritated"", ""violated"", ""none"", ""upset"", ""annoyed they have to look at a yard that is potted""]","[""to clean the yard"", ""to place the pot"", ""walks along the yard"", ""catches it"", ""to hire a landscaper to clean the yard"", ""to clean their yard on their day off work""]","[""none""]","[""failed to maintain the yard"", ""take out the garbage"", ""mow the lawn"", ""rake the leaves"", ""to be lazy"", ""to be busy doing other chores"", ""to not have a nice yard""]","[""none"", ""to avoid mowing the lawn in the summer"", ""to leave the litter and garbage from the wind in the yard"", ""to go on vacation without leaving someone to tend to the yard""]",PersonX does some yard work
